stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
2,1,0.0,0.0010508598964245202,0.0010508598964245202,0.005254299482122601,83.72230568349605,128,16,16,37.023653510585255,16;32;64;128,37.023653510585255;14.889113447367974;9.636565350839028;2.445535468650116,0.2,2,255,0.99609375,-1265.0614153617062,-477.72972044255584,787.3316949191503,45.160278556914754,14.11258704903586,7.776173114776611
2,2,0.0010508598964245202,0.0021017197928490405,0.0010508598964245202,0.005254299482122601,111.9910859864605,128,16,16,31.327552945845234,16;32;64;128,31.327552945845234;11.139300367307534;8.00559901463883;2.698209155775651,0.2,2,253,0.98828125,-477.72972044255584,-284.74379212851636,192.98592831403948,41.75480360544496,13.04837612670155,7.4732911586761475
2,3,0.0021017197928490405,0.003152579689273561,0.0010508598964245205,0.005254299482122601,118.31837361145685,128,16,16,37.027355219777206,16;32;64;128,37.027355219777206;11.961270104894039;9.16899987127529;2.4857965729293974,0.2,2,253,0.98828125,-284.74379212851636,-170.14371225913055,114.60007986938581,40.06265048063043,12.51957827519701,7.633295059204102
2,4,0.003152579689273561,0.004203439585698081,0.00105085989642452,0.005254299482122601,122.32448579098694,128,16,16,33.891122246748346,16;32;64;128,33.891122246748346;11.852933516630134;7.0692117662305;1.8879419562803839,0.2,2,249,0.97265625,-170.14371225913055,-112.37150001933333,57.77221223979723,39.646732856850306,12.38960401776572,7.521238088607788
2,5,0.004203439585698081,0.005254299482122601,0.00105085989642452,0.005254299482122601,124.10674779616616,128,16,16,33.39572607153309,16;32;64;128,33.39572607153309;12.690987105393884;8.534843189381428;2.3328643486246117,0.2,2,250,0.9765625,-112.37150001933333,-83.82034502876922,28.5511549905641,38.42640821817751,12.00825256818047,7.490581035614014
4,1,0.0,0.0010676311723837382,0.0010676311723837382,0.005338155861918691,81.87098432070624,128,16,16,29.362254911591997,16;32;64;128,29.362254911591997;11.34607574820131;8.652624466584406;2.285502903545185,0.2,2,255,0.99609375,-1377.7921325811185,-577.9890478695743,799.8030847115442,42.928522603699115,13.415163313655972,7.656933069229126
4,2,0.0010676311723837382,0.0021352623447674765,0.0010676311723837382,0.005338155861918691,107.12102470355495,128,16,16,37.04642384088491,16;32;64;128,37.04642384088491;14.171106048063557;9.766888243797474;2.5414336947497507,0.2,2,254,0.9921875,-577.9890478695743,-329.7082307235105,248.28081714606378,41.17491743115712,12.867161697236599,7.6048290729522705
4,3,0.0021352623447674765,0.0032028935171512147,0.0010676311723837382,0.005338155861918691,116.65225570254329,128,16,16,28.73719482750474,16;32;64;128,28.73719482750474;10.49538495195852;5.378264150485934;2.0450861872731707,0.2,2,256,1.0,-329.7082307235105,-219.73061052407138,109.97762019943912,38.724624096982595,12.10144503030706,7.4982709884643555
4,4,0.0032028935171512147,0.004270524689534953,0.0010676311723837382,0.005338155861918691,121.39761346983254,128,16,16,35.241452659678046,16;32;64;128,35.241452659678046;11.120706856746727;8.969807915212382;2.799539443951478,0.2,2,247,0.96484375,-219.73061052407138,-196.24823549715802,23.48237502691336,44.14824487236415,13.796326522613796,7.713981866836548
4,5,0.004270524689534953,0.005338155861918691,0.0010676311723837378,0.005338155861918691,122.68769587886268,128,16,16,26.198963149527852,16;32;64;128,26.198963149527852;12.313179021315733;7.3249523696104655;1.7276515053330566,0.2,2,248,0.96875,-196.24823549715802,-137.6462342798477,58.60200121731032,38.850456100396414,12.140767531373879,7.7228851318359375
6,1,0.0,0.0011054644487637764,0.0011054644487637764,0.005527322243818882,75.11785898079816,128,16,16,26.6989989665041,16;32;64;128,26.6989989665041;9.953340565114527;6.189800064288442;1.7619277027825153,0.2,2,256,1.0,-1586.4466730279382,-577.6472745714709,1008.7993984564673,38.665210894517486,12.082878404536714,7.500635862350464
6,2,0.0011054644487637764,0.0022109288975275527,0.0011054644487637764,0.005527322243818882,106.87820457959849,128,16,16,26.67028018427236,16;32;64;128,26.67028018427236;8.728549329877767;8.682730003345652;2.146626659405199,0.2,2,252,0.984375,-577.6472745714709,-312.93360704614315,264.71366752532776,39.81398737530407,12.441871054782522,7.530156850814819
6,3,0.0022109288975275527,0.003316393346291329,0.0011054644487637762,0.005527322243818882,118.56171651445386,128,16,16,29.12366758180561,16;32;64;128,29.12366758180561;11.388195814614132;6.89730783733427;2.3467728557139766,0.2,2,252,0.984375,-312.93360704614315,-240.2845817352645,72.64902531087864,38.70620824409003,12.095690076278133,7.5057759284973145
6,4,0.003316393346291329,0.0044218577950551055,0.0011054644487637766,0.005527322243818882,120.87385699725118,128,16,16,32.114285126033515,16;32;64;128,32.114285126033515;12.154342043317286;6.153310021686479;2.179114914831086,0.2,2,249,0.97265625,-240.2845817352645,-177.8238519707229,62.46072976454161,40.83176190240694,12.759925594502167,7.497694969177246
6,5,0.0044218577950551055,0.005527322243818882,0.0011054644487637766,0.005527322243818882,122.27013427689616,128,16,16,30.733482480631515,16;32;64;128,30.733482480631515;10.671594453075965;7.169098538901483;1.9010339837426988,0.2,2,250,0.9765625,-177.8238519707229,-104.23520631925203,73.58864565147087,38.23047211334586,11.947022535420581,7.679155111312866
8,1,0.0,0.0008242041657009486,0.0008242041657009486,0.004121020828504743,80.2052927941105,128,16,16,31.647765112125736,16;32;64;128,31.647765112125736;10.247789137696653;10.220885528365272;2.5460681262831972,0.2,2,255,0.99609375,-1786.3149183243513,-771.9410268804058,1014.3738914439455,43.31965644903894,13.537392640324667,7.489650011062622
8,2,0.0008242041657009486,0.001648408331401897,0.0008242041657009486,0.004121020828504743,109.42560793705691,128,16,16,30.429578377271852,16;32;64;128,30.429578377271852;10.766229333355405;6.071194964263203;2.626764053222932,0.2,2,252,0.984375,-771.9410268804058,-421.77462717704475,350.1663997033611,44.69589984954191,13.967468702981845,7.508723020553589
8,3,0.001648408331401897,0.0024726124971028458,0.0008242041657009487,0.004121020828504743,117.54518442293066,128,16,16,31.81334036453219,16;32;64;128,31.81334036453219;10.11108242080445;7.451530660590466;2.096355564612684,0.2,2,256,1.0,-421.77462717704475,-322.34446673910134,99.43016043794341,37.69661849007051,11.780193278147035,7.508531093597412
8,4,0.0024726124971028458,0.003296816662803794,0.0008242041657009484,0.004121020828504743,120.92190168351947,128,16,16,35.83021034127025,16;32;64;128,35.83021034127025;8.920822660678695;7.739504072958901;2.3018569130311017,0.2,2,252,0.984375,-322.34446673910134,-254.26328185363673,68.08118488546461,39.68740311593256,12.402313473728924,7.50817608833313
8,5,0.003296816662803794,0.004121020828504743,0.0008242041657009484,0.004121020828504743,122.81810237999262,128,16,16,29.81638767649973,16;32;64;128,29.81638767649973;10.772381726168637;6.6886440158547655;1.9600581381354703,0.2,2,253,0.98828125,-254.26328185363673,-175.71606439049356,78.54721746314317,35.99041389837929,11.247004343243526,7.513832092285156
10,1,0.0,0.0012628187122633709,0.0012628187122633709,0.006314093561316854,72.13491382594827,128,16,16,36.722827400375046,16;32;64;128,36.722827400375046;14.057909701082986;10.72252477477901;3.222385528225836,0.2,2,254,0.9921875,-1501.5571930380538,-464.6809556768276,1036.8762373612262,46.03867268691533,14.387085214661042,7.4848949909210205
10,2,0.0012628187122633709,0.0025256374245267417,0.0012628187122633709,0.006314093561316854,108.06119162643023,128,16,16,30.88669220306092,16;32;64;128,30.88669220306092;11.989141480842953;7.154743065161898;2.312010286540006,0.2,2,254,0.9921875,-464.6809556768276,-307.15102667326573,157.52992900356185,40.158858599433806,12.549643312323063,7.761502027511597
10,3,0.0025256374245267417,0.0037884561367901126,0.0012628187122633709,0.006314093561316854,114.73787463021071,128,16,16,31.724430255484556,16;32;64;128,31.724430255484556;10.908950639684875;6.2604553036394845;2.434195109670747,0.2,2,253,0.98828125,-307.15102667326573,-178.21015689277556,128.94086978049017,37.72016432759278,11.787551352372741,7.608821153640747
10,4,0.0037884561367901126,0.0050512748490534835,0.0012628187122633709,0.006314093561316854,120.29868250107292,128,16,16,30.848452306107497,16;32;64;128,30.848452306107497;12.411598178295234;7.285196423328741;2.0456180870079947,0.2,2,254,0.9921875,-178.21015689277556,-97.4591456259368,80.75101126683876,35.80938792905336,11.190433727829173,7.521106958389282
10,5,0.0050512748490534835,0.006314093561316854,0.0012628187122633704,0.006314093561316854,124.31050922056828,128,16,16,24.304833597193685,16;32;64;128,24.304833597193685;11.687044729160826;6.912590659541291;1.4294193542616367,0.2,2,249,0.97265625,-97.4591456259368,-76.42399956542067,21.035146060516126,37.62396922097888,11.757490381555899,7.734494924545288
