stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end
1,0.20213103294372559,0,0,0.30000007,0.30000007,0.4703360050954408,0.5006827122786071,0.4493438550166831,0.1957036436224503,0.47912901547537057,0.06031520762061507,0.07008094532298935
2,59.154025077819824,10,5,0.30000007,0.30000007,0.4817765193112304,0.4939684454047315,0.4491801091897683,0.19422165787769388,0.49955294507964787,0.05946564903655937,0.07014652786598466
3,6.703620910644531,5,0,0.42045727,0.51897645,0.4933963327750522,0.49691309033680287,0.44505454146037565,0.20369271538028347,0.5357543795904559,0.05878336629684925,0.07154676112151907
4,44.70225811004639,5,5,0.41502535,0.5111855,0.5066039076797301,0.49389523779954786,0.4462147529911336,0.2117236676800762,0.5583758816479097,0.05935625549965682,0.07225719293633086
5,6.930999040603638,5,0,0.70214874,0.56445897,0.5214734517845828,0.5028259216552761,0.44195418766680916,0.23804110986011473,0.6027964378792965,0.060123727466560174,0.07371826010988093
6,43.967085123062134,5,5,0.6955147,0.554767,0.5381822852528414,0.5001019887843091,0.44061045128618187,0.2496940694931297,0.6340176887376217,0.06161144192520201,0.07443306425882086
7,6.405735969543457,5,0,0.5739177,0.6448973,0.5537423039473298,0.4974683345687421,0.43592465543959696,0.2603931417648394,0.6510435901887008,0.06209294973493847,0.07618031195274241
8,44.144484996795654,5,5,0.5657248,0.6367682,0.5687551698228962,0.49839436178872965,0.4361394405421536,0.2757722933626993,0.6915430377515047,0.06254946039681944,0.07771248330802313
9,8.093974828720093,6,0,0.7207937,0.6212055,0.5821139161609622,0.4947630401697265,0.4352021042897269,0.28570065756794016,0.7039875055612339,0.0626551867983477,0.07797211743669268
10,45.0227530002594,5,5,0.7150877,0.6157973,0.5950800926296212,0.4958328078433139,0.4315418761957847,0.30009738896628974,0.7120882131345624,0.06476521613900121,0.07939252262189384
11,6.281372785568237,5,0,0.51850784,0.55402315,0.6061298146171783,0.484021232749856,0.42765531699942927,0.29796701119136565,0.7290501376395865,0.06694495065570473,0.07948792081934028
12,45.213988065719604,5,5,0.51067096,0.5466028,0.6172688468935967,0.49103594503934744,0.4298064863060463,0.30348741938468304,0.7411576415104231,0.06859013694627336,0.07916664451452664
13,6.27850604057312,5,0,0.6166009,0.5121718,0.6280881805528542,0.4932040774370846,0.42697425996670885,0.31067583019772294,0.7700710807125063,0.07094927391538088,0.07932279863828064
14,46.780194997787476,6,5,0.6105804,0.50509816,0.6379131931911655,0.49515001129035574,0.4211740576670135,0.3230497138659595,0.767979424022543,0.0705139373387315,0.08037625993193424
15,6.7430031299591064,5,0,0.5240394,0.46378672,0.6469553793313522,0.4907244531172546,0.4218838087654891,0.3161724252822607,0.7853735536028346,0.07180429171261209,0.0805615494729022
16,45.67558717727661,6,5,0.517161,0.45644733,0.6557873485067254,0.48988228227661945,0.41633375563755876,0.31626039696285363,0.7825698199880644,0.0732825901604996,0.08119148741181782
