wall_s,util_pct,mem_mb
0.04,0,4610
2.09,1,4623
4.13,0,4625
6.18,1,4618
8.24,0,4618
10.29,3,4617
12.34,0,4617
14.39,0,4627
16.44,0,4626
18.49,0,4626
20.54,0,4617
22.59,0,4617
24.63,0,5344
26.67,0,5344
28.71,0,5344
30.75,0,5344
32.79,0,5410
34.83,1,5410
36.87,0,5410
38.91,41,5410
40.95,29,5410
43.00,33,5410
45.04,30,5410
47.08,0,5410
49.13,40,5442
51.17,41,5442
53.21,42,5442
55.25,41,5442
57.29,27,5442
59.34,34,5442
61.38,25,5442
63.42,30,5442
65.46,25,5442
67.51,8,5442
69.55,25,5442
71.59,43,5442
73.64,40,5442
75.68,43,5442
77.72,41,5442
79.76,41,5442
81.81,40,5442
83.85,41,5442
85.89,29,5442
87.93,28,5442
89.98,25,5442
92.02,26,5442
94.06,49,5442
96.10,32,5442
98.15,25,5442
100.19,39,5474
102.24,42,5474
104.28,34,5474
106.32,33,5474
108.37,32,5474
