stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
2,1,0.0,11.876237325019678,11.876237325019678,59.38118662509839,183.03755203666228,256,16,16,39.78509684472348,16;32;64;128;256,39.78509684472348;15.813550128660575;10.683866858018098;4.027372184201507;2.957966440775526,0.2,8,2041,0.99658203125,0.20974488612409914,0.2733370664213908,0.06359218029729163,68.09215184675409,21.278797452110652,1.587083101272583
2,2,11.876237325019678,23.752474650039357,11.876237325019678,59.38118662509839,230.84870799088017,256,16,16,39.212187942081286,16;32;64;128;256,39.212187942081286;15.526060641865268;9.526298695392802;2.866157663987452;2.774667552485998,0.2,8,2033,0.99267578125,0.2733370664213908,0.2846185945199977,0.011281528098606941,67.59643123845835,21.123884762018232,1.3404889106750488
2,3,23.752474650039357,35.62871197505903,11.876237325019677,59.38118662509839,242.18198081111166,256,16,16,27.70876660439628,16;32;64;128;256,27.70876660439628;11.234797441945203;8.181358288855163;2.4056019811104434;1.9408148414174315,0.2,8,2033,0.99267578125,0.2846185945199977,0.2915044929341093,0.00688589841411158,65.98592207834167,20.620600649481773,1.3629398345947266
2,4,35.62871197505903,47.504949300078714,11.87623732501968,59.38118662509839,247.8126507229891,256,16,16,31.60576576103665,16;32;64;128;256,31.60576576103665;10.687720941995048;8.160926383946851;1.9786366218560394;1.6265380733687573,0.2,8,2030,0.9912109375,0.2915044929341093,0.2948730830776185,0.003368590143509209,64.09583398876121,20.029948121487877,1.3730900287628174
2,5,47.504949300078714,59.38118662509839,11.876237325019673,59.38118662509839,251.00116481662172,256,16,16,31.07627357009241,16;32;64;128;256,31.07627357009241;10.39284187192939;6.360928316659581;2.4987761863066784;1.554093898689321,0.2,8,2025,0.98876953125,0.2948730830776185,0.29764935520961444,0.0027762721319959383,64.23140781199048,20.072314941247022,1.3638229370117188
4,1,0.0,12.992296264235359,12.992296264235359,64.96148132117679,178.48202354207268,256,16,16,21.773437830849705,16;32;64;128;256,21.773437830849705;8.857295023236018;6.185290328385681;2.540881973583269;1.4055043598334604,0.2,8,2036,0.994140625,0.16024688305788004,0.22452692178785583,0.06428003872997579,63.913582394681775,19.972994498338053,1.3704819679260254
4,2,12.992296264235359,25.984592528470717,12.992296264235359,64.96148132117679,234.29995280600906,256,16,16,27.72966153135981,16;32;64;128;256,27.72966153135981;12.750869614860681;7.81358065698663;3.4501836243218325;1.9487726147881537,0.2,8,2030,0.9912109375,0.22452692178785583,0.23461151020501347,0.010084588417157647,64.90261765113976,20.282068015981174,1.3878509998321533
4,3,25.984592528470717,38.97688879270608,12.99229626423536,64.96148132117679,243.16292518910763,256,16,16,34.84336830942142,16;32;64;128;256,34.84336830942142;14.102652595986521;8.164663294851554;2.17095939533704;2.472468531674644,0.2,8,2036,0.994140625,0.23461151020501347,0.23935591306326387,0.004744402858250396,66.28519871187885,20.71412459746214,1.4014520645141602
4,4,38.97688879270608,51.969185056941434,12.992296264235357,64.96148132117679,248.7636589137218,256,16,16,31.36881869617443,16;32;64;128;256,31.36881869617443;13.447902513255544;6.840892558636393;2.8561344878344674;2.2179821051464343,0.2,8,2032,0.9921875,0.23935591306326387,0.24129047394899317,0.0019345608857292973,63.604311578133704,19.87634736816678,1.3855149745941162
4,5,51.969185056941434,64.96148132117679,12.992296264235357,64.96148132117679,249.8536152043831,256,16,16,24.39768921508787,16;32;64;128;256,24.39768921508787;10.392599303402358;6.471832082570413;2.294491382236815;1.7283220196039728,0.2,8,2031,0.99169921875,0.24129047394899317,0.24314671079673644,0.0018562368477432756,64.12753784029513,20.03985557509223,1.3663499355316162
6,1,0.0,11.287114903228915,11.287114903228915,56.43557451614457,182.01414951564917,256,16,16,34.52412034399277,16;32;64;128;256,34.52412034399277;13.058742191042942;7.212635617118215;2.556174025569049;1.8528028266040677,0.2,8,2032,0.9921875,0.1268400939438834,0.18676507960299205,0.05992498565910864,67.6078331070734,21.127447845960436,1.452265977859497
6,2,11.287114903228915,22.57422980645783,11.287114903228915,56.43557451614457,227.14402716534528,256,16,16,39.35184176683548,16;32;64;128;256,39.35184176683548;13.16905521179294;10.246799226969001;2.6917094818137324;2.5850485102354224,0.2,8,2039,0.99560546875,0.18676507960299205,0.20718253778159124,0.02041745817859919,66.19731884286942,20.68666213839669,1.3640589714050293
6,3,22.57422980645783,33.86134470968675,11.287114903228918,56.43557451614457,244.78304630084634,256,16,16,32.31080668368479,16;32;64;128;256,32.31080668368479;14.19403564948076;8.944600172995688;2.2522085819777984;2.209154931879265,0.2,8,2034,0.9931640625,0.20718253778159124,0.21135356094782765,0.0041710231662364095,67.47759320454392,21.086747876419974,1.365638017654419
6,4,33.86134470968675,45.14845961291566,11.287114903228911,56.43557451614457,247.69967216577572,256,16,16,31.97699540264781,16;32;64;128;256,31.97699540264781;15.05392196991414;7.508525075390346;2.78364871010421;2.1900210680430456,0.2,8,2025,0.98876953125,0.21135356094782765,0.21573107743688524,0.004377516489057598,64.68094887186925,20.21279652245914,1.3915481567382812
6,5,45.14845961291566,56.43557451614457,11.287114903228911,56.43557451614457,251.63481393801322,256,16,16,31.389702362337093,16;32;64;128;256,31.389702362337093;13.723823029038554;8.904238911707434;2.8066187295455616;2.3996904579938625,0.2,8,2030,0.9912109375,0.21573107743688524,0.21734590788946662,0.0016148304525813728,65.02189606752819,20.31934252110256,1.425372838973999
