stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
1,0.19794511795043945,0,0,1.0,0.09762438202962109,0.05548917838471154,0.2959598949425707,0.09490694569916792
2,18.348206043243408,5,5,1.0,0.09503506122119791,0.05931131404419524,0.29175707404930723,0.0914359674741382
3,0.12659907341003418,5,0,0.43698752,0.09282509948013942,0.05951168851403881,0.2783946870251547,0.08555623398956642
4,12.30243706703186,5,5,0.39346814,0.0907203613177965,0.06368830909442688,0.2566702625990044,0.08454138882411137
5,0.1644289493560791,5,0,0.5098644,0.0894800373194057,0.0662199050812139,0.24987853473920885,0.0844242859116185
6,12.271950006484985,5,5,0.4706829,0.0880748870531241,0.06771826512466607,0.23847863481758066,0.07890832294852591
7,0.16310405731201172,5,0,0.64263225,0.08688093016643013,0.07038981756228097,0.2309807935011145,0.08238280123358682
8,11.663364887237549,5,5,0.60279495,0.08594044502669994,0.07474021688585279,0.22076600064894455,0.07632848678183037
9,0.1627800464630127,5,0,0.7296078,0.08471254881947475,0.07809532793764191,0.2132106133728022,0.0771915140447104
10,11.688215970993042,5,5,0.6962004,0.0839667693499316,0.08411362037212348,0.21192981473976444,0.07938702889128486
11,0.16468191146850586,5,0,0.6972888,0.0833395384228981,0.08483709397955341,0.2076326143876624,0.07693236974522097
12,12.161768913269043,5,5,0.6659058,0.08241498520101803,0.08916736853877473,0.20395242095314123,0.06883146374374711
13,0.15764808654785156,5,0,0.8253191,0.08118180545862866,0.09312253479564124,0.20337608452665895,0.06623382743708128
14,11.266430854797363,5,5,0.78933686,0.08005417641235331,0.09524071079257797,0.20179587616660413,0.06278173246851464
15,0.17851805686950684,5,0,0.72169894,0.0788606612626287,0.09783970255580542,0.19831244271476506,0.06379833674297236
16,11.908122062683105,5,5,0.6876945,0.07802466149484302,0.10180080995422547,0.1926760336454355,0.06566448446687093
17,0.14655590057373047,5,0,0.8357056,0.07737329073601691,0.10662959802214998,0.19288561527915282,0.06602829341741612
18,11.936037063598633,5,5,0.80570394,0.07697944662160612,0.11063910925457264,0.1937880032233155,0.07569894428706152
19,0.14878201484680176,5,0,0.8476651,0.07690281792436295,0.11563058211241777,0.19071042280914657,0.07726170329489342
20,11.477272033691406,5,5,0.8097351,0.076796562884378,0.11926540607391803,0.18999248047244577,0.07331680686280412
21,0.15665984153747559,5,0,0.84509206,0.07638680875237172,0.12261913130100505,0.18950968952171385,0.06572391476248576
22,14.05746603012085,5,6,0.8087644,0.07589758620237536,0.1248623105281542,0.18575462142370527,0.06735004223335044
23,0.1620190143585205,5,0,0.9514053,0.07555563850200485,0.12981816167212307,0.18664353125931485,0.07096025214896885
24,11.74906301498413,5,5,0.91682214,0.07544086196888918,0.13308624582499812,0.18610469943202648,0.07673134842920465
25,0.13218402862548828,5,0,0.9344689,0.07541976257431394,0.13563416998909908,0.17881993312984168,0.07594497109619641
26,12.307464122772217,5,5,0.9090345,0.07542332212935897,0.14041162698829487,0.18015261444512967,0.07479015402069028
27,0.14953112602233887,5,0,1.1131799,0.07558440467780271,0.14695517401889324,0.18569624128848075,0.0824171641393852
28,12.5502610206604,5,5,1.0935298,0.07575026506999506,0.1507050042037867,0.19354776910024116,0.07831756079636529
29,0.14673399925231934,5,0,0.91758865,0.0759276586184534,0.15546543654612427,0.1972685180978911,0.08258319673206864
30,11.60710096359253,5,5,0.8916016,0.0760832684275395,0.16081120821103886,0.1941896708649739,0.07774264688338141
31,0.16525602340698242,5,0,0.9946788,0.07620057366865678,0.16484106175660806,0.1955380381082752,0.08291242000770833
32,12.327892065048218,5,5,0.96152824,0.07635905515566514,0.16717522875812615,0.19035989079147195,0.08239563229199975
33,0.17105984687805176,5,0,0.9838454,0.07656158238356654,0.17223858646493012,0.1942312052320997,0.08573717751261047
34,11.957188129425049,5,5,0.96114033,0.07688265039670111,0.17724917081830938,0.19264519138578365,0.08957105464240324
35,0.17593002319335938,5,0,0.9562246,0.07728563689926182,0.18157885877907787,0.19501312516488215,0.0915675563306016
36,12.357942819595337,5,5,0.9337731,0.07767381644320887,0.1853699643830233,0.19725228164861763,0.09057568106378205
37,0.17215681076049805,5,0,1.0448991,0.07807920856991206,0.1933324970707984,0.19732220587417132,0.09423680432180481
38,11.472625017166138,5,5,1.021643,0.07862304614868014,0.1981787414782638,0.19380161464047604,0.10276388650496998
39,0.15983104705810547,5,0,1.1206645,0.07934277341425203,0.20466441016651943,0.2006707877282683,0.1056209843618789
40,12.261160135269165,5,5,1.1066049,0.08001482760661537,0.20681878053434652,0.20364852195278213,0.10727953246419533
41,0.1225581169128418,5,0,1.0260447,0.0807250015259577,0.20790216289282681,0.19904132636537603,0.11146494758110044
