wall_s,util_pct,mem_mb
0.04,1,4614
2.09,0,4623
4.13,0,4626
6.18,0,4621
8.23,0,4621
10.28,0,4621
12.33,1,4622
14.38,0,4622
16.43,0,4622
18.48,0,4622
20.53,0,4622
22.57,0,4613
24.62,0,5564
26.66,1,5564
28.70,0,5564
30.74,0,5564
32.78,1,5630
34.83,0,5630
36.87,4,5630
38.91,0,5630
40.96,54,5630
43.00,42,5630
45.04,48,5630
47.09,45,5630
49.13,57,5630
51.18,0,5630
53.22,55,5630
55.26,56,5630
57.30,55,5630
59.35,54,5630
61.39,50,5630
63.43,0,5662
65.47,29,5662
67.51,40,5662
69.56,37,5662
71.60,29,5662
73.64,28,5662
75.69,42,5662
77.73,27,5662
79.77,56,5662
81.81,56,5662
83.86,54,5662
85.90,56,5662
87.94,47,5662
89.99,55,5662
92.03,44,5662
94.07,52,5662
96.11,46,5662
98.16,54,5662
100.20,56,5662
102.25,48,5662
104.29,29,5662
106.33,37,5662
108.38,8,5662
110.43,42,5662
112.47,30,5662
114.51,45,5662
116.56,56,5662
118.60,50,5662
120.65,46,5662
122.69,49,5662
124.73,50,5662
126.78,56,5662
128.82,54,5662
