stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
2,1,0.0,0.4157632147200383,0.4157632147200383,2.5094303398613604,512.0000002589104,1024,12,16,25.31243499958863,16;32;64;128;256;512,25.31243499958863;9.348408534910261;6.1432061176935004;1.886792039785799;1.5778442642316792;0.27333777742643073,0.2,8,8098,0.988525390625,20.759038232555667,23.362581885169675,2.6035436526140074,45.72212772262147,14.288164913319209,4.438753128051758
2,2,0.4157632147200383,0.9176492826923104,0.5018860679722721,2.5094303398613604,673.9207364803516,1024,12,16,19.168569834361204,16;32;64;128;256;512,19.168569834361204;9.593406732706399;5.418492375126105;1.4362382431942857;1.3589284041072607;0.3172191220925158,0.2,8,8027,0.9798583984375,23.362581885169675,24.49394273277312,1.131360847603446,41.385914084024996,12.933098151257811,4.0719969272613525
2,3,0.9176492826923104,1.4195353506645825,0.5018860679722721,2.5094303398613604,819.3445860611123,1024,12,16,18.769035347835423,16;32;64;128;256;512,18.769035347835423;9.345545591352735;4.361422636915691;1.5339409339260541;1.1306152655328023;0.18109753591411856,0.2,8,7940,0.96923828125,24.49394273277312,25.04457195828536,0.5506292255122389,38.88071903961382,12.150224699879319,4.108759880065918
2,4,1.4195353506645825,1.9214214186368546,0.5018860679722721,2.5094303398613604,882.625639466601,1024,12,16,18.25116060898211,16;32;64;128;256;512,18.25116060898211;7.857835342337148;4.474072463778624;1.2077931486494828;1.079627239497805;0.17179679384711302,0.2,8,7850,0.958251953125,25.04457195828536,25.392794690002574,0.34822273171721463,37.706157101722205,11.783174094288189,4.150689125061035
2,5,1.9214214186368546,2.4233074866091266,0.5018860679722721,2.5094303398613604,928.0560154175579,1024,12,16,11.681980760335437,16;32;64;128;256;512,11.681980760335437;5.541154504880948;3.4331226600399294;1.1472160629618737;0.6333767580781144;0.07721474792153953,0.2,8,7698,0.939697265625,25.392794690002574,25.636820709149106,0.24402601914653133,35.32665158081165,11.03957861900364,4.160673141479492
2,6,2.4233074866091266,2.5094303398613604,0.08612285325223379,2.5094303398613604,1021.2072717441573,1024,12,16,19.186586144966846,16;32;64;128;256;512,19.186586144966846;7.056059328424286;4.266187983350463;0.9371594266583302;1.1004509874148451;0.1380445598464624,0.2,8,7714,0.941650390625,25.636820709149106,25.685737475456335,0.04891676630722941,35.4337747003035,11.073054593844844,4.1073009967803955
4,1,0.0,0.4109502546042819,0.4109502546042819,2.3191132554333027,512.0000003455812,1024,12,16,19.00612742003941,16;32;64;128;256;512,19.00612742003941;9.65581603635426;3.992614554117058;1.7475213604606177;1.0634834544839549;0.15485117894141914,0.2,8,8138,0.993408203125,22.248489293350758,24.725653082858116,2.477163789507358,48.68701534195408,15.214692294360649,4.345108985900879
4,2,0.4109502546042819,0.8747729056909425,0.46382265108666054,2.3191132554333027,696.7346274875866,1024,12,16,23.33883652295406,16;32;64;128;256;512,23.33883652295406;7.525641595380281;5.927696150241296;1.9754539240619808;1.3821748721903862;0.19517852899760232,0.2,8,8032,0.98046875,24.725653082858116,25.926622954744744,1.2009698718866275,43.87697624963187,13.71155507800996,4.375149965286255
4,3,0.8747729056909425,1.338595556777603,0.46382265108666043,2.3191132554333027,821.0615534971007,1024,12,16,18.571071402516818,16;32;64;128;256;512,18.571071402516818;6.444827287680413;4.232550797080583;1.1248132728213278;1.4599138720243103;0.20450042706542607,0.2,8,7909,0.9654541015625,25.926622954744744,26.535990949952065,0.6093679952073217,40.237235606476965,12.574136127024051,4.182451009750366
4,4,1.338595556777603,1.8024182078642634,0.46382265108666054,2.3191132554333027,897.245110040939,1024,12,16,20.960196872290215,16;32;64;128;256;512,20.960196872290215;6.0517279371510435;5.471957393480512;1.3933615463010112;1.0083767530823766;0.17068696015146817,0.2,8,7885,0.9625244140625,26.535990949952065,26.85601268517712,0.3200217352250547,36.806489306327414,11.502027908227316,4.225224018096924
4,5,1.8024182078642634,2.266240858950924,0.46382265108666054,2.3191132554333027,930.330977250077,1024,12,16,14.63211046662138,16;32;64;128;256;512,14.63211046662138;7.406479400420283;3.0938066626914265;1.1220880596397764;0.6458773141521998;0.11867617524144507,0.2,8,7713,0.9415283203125,26.85601268517712,27.111936852201325,0.2559241670242045,35.604165027415924,11.126301571067476,4.251637935638428
4,6,2.266240858950924,2.3191132554333027,0.052872396482378736,2.3191132554333027,1022.8774798214768,1024,12,16,12.136317719332325,16;32;64;128;256;512,12.136317719332325;7.158523015742181;2.1888708158411254;1.4197084485125335;0.805376126683673;0.10351150132508279,0.2,8,7694,0.939208984375,27.111936852201325,27.160075041381788,0.04813818918046309,35.90066377010011,11.218957428156283,4.2340428829193115
6,1,0.0,0.42649574659040673,0.42649574659040673,2.635537037681265,512.000000348266,1024,12,16,14.565381686095478,16;32;64;128;256;512,14.565381686095478;8.593607906799397;5.214483839975609;1.654371852562844;1.0083943257932537;0.2518185585600047,0.2,8,8113,0.9903564453125,22.56540425376079,24.981690382948727,2.416286129187938,46.16516272730973,14.426613352284289,4.0577778816223145
6,2,0.4264957465904067,0.9536031541266599,0.5271074075362532,2.635537037681265,644.8743277817056,1024,12,16,27.09589333197848,16;32;64;128;256;512,27.09589333197848;9.396880970085133;5.9081723896889615;1.547017094344654;1.4998248063120225;0.25693383162630884,0.2,8,8022,0.979248046875,24.981690382948727,26.282402551900304,1.300712168951577,42.02108503764033,13.131589074262603,4.206780910491943
6,3,0.9536031541266599,1.4807105616629128,0.527107407536253,2.635537037681265,806.8123869350429,1024,12,16,13.714104262913507,16;32;64;128;256;512,13.714104262913507;8.182078532209092;4.731640598676916;1.857967240831856;1.1715446235694242;0.22413726130156036,0.2,8,7927,0.9676513671875,26.282402551900304,26.840378927110578,0.5579763752102735,38.11953228228761,11.912353838214877,4.188369035720825
6,4,1.4807105616629128,2.007817969199166,0.5271074075362532,2.635537037681265,876.7431908157506,1024,12,16,19.5933389248815,16;32;64;128;256;512,19.5933389248815;8.317262508351506;5.6363929789624505;1.511269703952579;1.1686387399471982;0.19081545123175975,0.2,8,7816,0.9541015625,26.840378927110578,27.17694554537593,0.3365666182653513,37.079428507265646,11.587321408520515,4.114519119262695
6,5,2.007817969199166,2.534925376735419,0.5271074075362532,2.635537037681265,926.002673348108,1024,12,16,18.9697019397131,16;32;64;128;256;512,18.9697019397131;7.082561871440858;3.16691918618884;1.105276325219983;1.0720734176900453;0.16568298469347617,0.2,8,7695,0.9393310546875,27.17694554537593,27.449331554496894,0.27238600912096445,35.54674645662637,11.10835826769574,4.460050106048584
6,6,2.534925376735419,2.635537037681265,0.10061166094584584,2.635537037681265,1020.7558993135461,1024,12,16,18.95252541502714,16;32;64;128;256;512,18.95252541502714;6.5289925923707965;4.108569951806524;1.399927838115841;0.6274347425122968;0.08519626478885976,0.2,8,7755,0.9466552734375,27.449331554496894,27.488846696316614,0.039515141819720156,34.98960989214701,10.93425309129594,4.801943063735962
8,1,0.0,0.42360897286725796,0.42360897286725796,2.3518713430395457,512.0000000518476,1024,12,16,19.010071630101418,16;32;64;128;256;512,19.010071630101418;9.417676043384166;6.134722632704315;1.6599358932339066;1.396887121635442;0.17106405219117216,0.2,8,8124,0.99169921875,24.21941023581985,26.68050400122229,2.4610937654024383,47.72972880942878,14.915540252946492,4.1563849449157715
8,2,0.42360897286725796,0.8939832414751672,0.4703742686079092,2.3518713430395457,667.2903459970144,1024,12,16,15.011998278620654,16;32;64;128;256;512,15.011998278620654;6.049352782605256;3.523138963619287;1.1248290279543833;0.8226661307033607;0.14270481756660716,0.2,8,8051,0.9827880859375,26.68050400122229,27.89506725805768,1.2145632568353903,42.93399894000919,13.416874668752872,4.184345006942749
8,3,0.8939832414751672,1.3643575100830763,0.4703742686079091,2.3518713430395457,806.3079907418532,1024,12,16,14.555305431606516,16;32;64;128;256;512,14.555305431606516;6.691437700212264;6.091160448592087;1.9963408031282783;1.0876677114357425;0.1912728951204776,0.2,8,7941,0.9693603515625,27.89506725805768,28.606921839040297,0.7118545809826173,38.7559418844822,12.111231838900686,4.074476003646851
8,4,1.3643575100830763,1.8347317786909854,0.4703742686079091,2.3518713430395457,898.0266025188155,1024,12,16,16.311084213375793,16;32;64;128;256;512,16.311084213375793;8.300820309954407;3.939430505761549;1.2102546855737601;0.908480201785777;0.08449779446382072,0.2,8,7874,0.961181640625,28.606921839040297,28.955740961973788,0.3488191229334916,37.767918004273916,11.802474376335597,4.290700912475586
8,5,1.8347317786909854,2.3051060472988945,0.4703742686079091,2.3518713430395457,934.9823625502019,1024,12,16,19.669267828276364,16;32;64;128;256;512,19.669267828276364;4.8419044878686535;3.9497747689444833;1.146448256527149;0.45032369428614;0.16123808225952824,0.2,8,7691,0.9388427734375,28.955740961973788,29.18104877165024,0.22530780967645114,36.256243426679845,11.330076070837451,4.336010932922363
8,6,2.3051060472988945,2.3518713430395457,0.04676529574065125,2.3518713430395457,1023.2037605785697,1024,12,16,18.05380381817205,16;32;64;128;256;512,18.05380381817205;5.201255196382824;4.444779048397316;0.943294403628257;0.9659286691828702;0.14629359242872073,0.2,8,7707,0.9407958984375,29.18104877165024,29.227413288506796,0.04636451685655629,35.47733655453108,11.086667673290961,4.437524080276489
10,1,0.0,0.3944832821752492,0.3944832821752492,2.7002890638367787,512.0000000336363,1024,12,16,26.702586092085937,16;32;64;128;256;512,26.702586092085937;9.352776487023213;5.536983071062142;1.6330319103374726;1.5205846006389838;0.25007567845481193,0.2,8,8114,0.990478515625,25.26501235383148,27.78780938867203,2.5227970348405506,46.56835020953112,14.552609440478474,4.102946996688843
10,2,0.3944832821752492,0.934541094942605,0.5400578127673558,2.7002890638367787,588.4855593535532,1024,12,16,18.895763104566786,16;32;64;128;256;512,18.895763104566786;5.786430043888031;4.33366685788567;1.86701197339486;1.3151795977589793;0.1567818269462728,0.2,8,8042,0.981689453125,27.78780938867203,29.269544521186617,1.4817351325145864,42.985780436572014,13.433056386428754,4.217548131942749
10,3,0.934541094942605,1.4745989077099608,0.5400578127673559,2.7002890638367787,783.8855067883732,1024,12,16,27.721208232010888,16;32;64;128;256;512,27.721208232010888;9.756196036262038;6.420745686784855;2.1737504366358986;1.9459910799692954;0.19584924992919917,0.2,8,7925,0.9674072265625,29.269544521186617,29.958826500936993,0.6892819797503762,39.52460856678527,12.351440177120395,4.250317096710205
