wall_s,util_pct,mem_mb
0.04,1,4474
2.09,0,4483
4.13,1,4485
6.19,0,4481
8.24,0,4482
10.28,0,4486
12.33,0,4486
14.37,6,4486
16.42,0,4477
18.47,0,4477
20.52,0,4477
22.57,0,4477
24.62,0,5428
26.66,1,5428
28.70,0,5615
30.74,1,5631
32.78,1,5685
34.83,0,5701
36.87,0,5716
38.92,69,5715
40.96,68,5642
43.00,69,5642
45.04,70,5642
47.09,74,5642
49.13,68,5642
51.18,0,5642
53.22,73,5642
55.26,69,5642
57.31,67,5642
59.35,69,5642
61.39,68,5642
63.44,47,5674
65.48,29,5674
67.52,32,5674
69.56,28,5674
71.61,33,5674
73.65,29,5674
75.70,32,5674
77.75,0,5674
79.79,68,5674
81.84,68,5674
83.88,66,5674
85.92,66,5674
87.97,67,5674
90.01,64,5674
92.06,66,5674
94.10,71,5675
96.15,69,5675
98.20,68,5674
100.24,6,5670
102.29,70,5662
104.33,25,5662
106.38,26,5662
108.42,29,5662
110.46,28,5662
112.51,25,5662
114.55,36,5662
116.59,27,5662
118.64,67,5694
120.68,69,5694
122.72,71,5694
124.77,72,5694
126.81,69,5694
128.86,72,5694
130.90,69,5694
