stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end
1,0.243696928024292,0,0,0.30000007,0.30000007,0.4703360050954408,0.5006827122786071,0.4493438550166831,0.1957036436224503,0.47912901547537057,0.06031520762061507,0.07008094532298935
2,35.53072786331177,10,5,0.30000007,0.30000007,0.4817765193112304,0.4939684454047315,0.4491801091897683,0.19422165787769388,0.49955294507964787,0.05946564903655937,0.07014652786598466
3,6.710525035858154,5,0,0.4207122,0.45412123,0.4934033560041894,0.49691481747480815,0.4447695177475673,0.20149893489466886,0.5358188621797083,0.058783933833378314,0.07138560699653752
4,20.43341302871704,5,5,0.4070611,0.43389913,0.5066508568967873,0.49383913030293347,0.44559024003335534,0.2068402722243679,0.5586713068827667,0.05933702430414892,0.07190881073082757
5,6.853134870529175,5,0,0.64228374,0.5561781,0.5216089102222227,0.5023310402035301,0.441298591142071,0.2314318300802227,0.603497832062412,0.05995758750020466,0.07335609082846632
6,20.127700090408325,5,5,0.62289774,0.5290498,0.5384585587742571,0.49907341389317156,0.43984550366056313,0.24064888565548326,0.635292472348218,0.06126851152846086,0.07401615002896178
7,6.291926860809326,5,0,0.57123,0.59261364,0.5542120476766137,0.4964337935998811,0.4349324424294067,0.25016703670527773,0.6530216040799458,0.061751888928392534,0.07564190768435233
8,21.38092803955078,6,5,0.55099374,0.5675158,0.5694698751964619,0.49726345875685796,0.4348430927503245,0.2633341433707481,0.6944349542122844,0.062180494093136494,0.07701328944703122
9,6.520453929901123,5,0,0.6226213,0.53457135,0.5831324438104555,0.4929035270345844,0.4335253642208955,0.2682956856143942,0.708080597347072,0.062054825690124216,0.07707845882625827
10,20.188695192337036,5,5,0.6017551,0.5186849,0.5964860129260097,0.49313349485458163,0.42944056409715087,0.2770527685372424,0.7177973489177749,0.06389252944561985,0.07827559413270728
11,7.638197898864746,6,0,0.52035946,0.5037527,0.6080107658901411,0.4813772042672159,0.4253468939479651,0.27530608693069303,0.7365680726373522,0.06608612246822784,0.07827706387746089
12,21.314929008483887,6,5,0.4985104,0.48513424,0.6196921972434078,0.48833768810472744,0.42723697583871556,0.27998975177482605,0.7503306967690473,0.06771335951821794,0.07784020890403631
13,7.961107969284058,6,0,0.5614341,0.5222762,0.6310977725731747,0.49012178243460824,0.42447767373257217,0.28760204088576075,0.780885966210492,0.06994512570447814,0.07805602541060902
14,20.56258988380432,5,5,0.5442585,0.49787983,0.6415269977341383,0.49160184310616967,0.41867310950269854,0.2990602153772978,0.7801339392583928,0.06937671138940861,0.07911738435196304
15,7.947710037231445,6,0,0.54130334,0.5004776,0.6511793192065364,0.48736961317428473,0.4195757293680156,0.2962968567972038,0.7986576979342601,0.07072903427227323,0.07942486023763516
16,20.484966039657593,5,5,0.5211541,0.47994956,0.6605942175380104,0.4866150328570427,0.4141615032215729,0.2989196336685927,0.796244554217892,0.07223380879525429,0.08013821405451349
17,8.033837795257568,6,0,0.49294186,0.5484938,0.6688750100991581,0.47767763021607557,0.41494767894556056,0.2949534839046037,0.7958192996348699,0.07246346729058042,0.0829703662020267
18,20.133251190185547,5,5,0.47332028,0.5203994,0.6772067106084184,0.4706928952719251,0.4093015000922288,0.2957152124128642,0.8361548609371497,0.07229495434359984,0.08390024940434253
19,6.923108100891113,5,0,0.529829,0.51769143,0.685797082391516,0.4647791916576704,0.4093953410458886,0.294227771520195,0.8333687456846602,0.07050018390454918,0.08329258284742896
20,20.45808482170105,5,5,0.5120395,0.49736416,0.6935786480744229,0.4645281011944997,0.4126731670457465,0.29132441951897387,0.844993109315573,0.07003597284697216,0.08231561860004093
21,7.521613836288452,6,0,0.5646272,0.5191905,0.7008414912501906,0.4694330113676829,0.4140823563468845,0.29427828525148947,0.851637560452719,0.07074094568369545,0.08141528702308319
