wall_s,util_pct,mem_mb
0.04,0,4760
2.09,0,4762
4.14,0,4765
6.19,1,4770
8.24,0,4770
10.29,0,4770
12.33,6,4770
14.38,0,4780
16.43,0,4776
18.48,1,4771
20.54,0,4771
22.59,1,4771
24.63,0,5401
26.67,1,5401
28.71,1,5424
30.75,0,5422
32.80,1,5421
34.84,0,5467
36.88,0,5467
38.93,3,5467
40.97,59,5467
43.01,52,5467
45.06,51,5467
47.10,56,5467
49.14,62,5483
51.18,0,5480
53.23,33,5486
55.27,38,5479
57.32,34,5477
59.36,30,5475
61.41,33,5474
63.45,34,5474
65.50,53,5506
67.54,54,5506
69.59,57,5506
71.63,58,5506
73.67,57,5506
75.72,25,5506
77.76,26,5506
79.81,25,5506
81.85,29,5506
83.90,29,5506
85.94,12,5506
87.99,28,5506
90.03,52,5506
92.08,60,5506
94.12,56,5507
