stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end,t_slice_phi,t_plant_rollout,t_accumulate,t_window_grid,t_filter,t_xhat,t_replan,t_postlog
29,24.465604066848755,6,0,0.6723409,0.5555541,0.7280676649596042,0.4626351061705957,0.4040965697660023,0.32244326682526975,0.8883970333164886,0.07584080523782417,0.09033851015496355,9.5367431640625e-7,2.5987625122070312e-5,2.09808349609375e-5,2.1457672119140625e-6,24.46541690826416,5.1975250244140625e-5,0.0,1.1920928955078125e-6
30,284.2382221221924,6,5,0.645683,0.52281433,0.7333874890460054,0.4646605661745003,0.4042275705010636,0.3345151727028137,0.8929503444714503,0.07625669388096742,0.0900952316339638,9.5367431640625e-7,2.5987625122070312e-5,2.4080276489257812e-5,9.5367431640625e-7,24.195539951324463,7.009506225585938e-5,260.04232692718506,8.106231689453125e-6
31,23.378597021102905,6,0,0.58844584,0.5059265,0.7383750677932345,0.463966997567407,0.40661537980152873,0.3354603884934955,0.8820684178897332,0.07663252815895397,0.09152290886705361,0.0,1.3113021850585938e-5,2.09808349609375e-5,9.5367431640625e-7,23.378422021865845,4.792213439941406e-5,0.0,9.5367431640625e-7
32,281.3478789329529,6,5,0.5556551,0.4733108,0.7428357755149322,0.4608002857018204,0.4041481546231952,0.3298052308205062,0.8767027726260519,0.0753163035383045,0.09111268287934708,0.0,2.5987625122070312e-5,2.9087066650390625e-5,1.9073486328125e-6,22.67816710472107,4.982948303222656e-5,258.6694128513336,6.9141387939453125e-6
33,23.85531497001648,6,0,0.5924673,0.54657644,0.7468945547043082,0.46001822574171525,0.404238430756851,0.3248841446360619,0.8686305401460119,0.07332178144757408,0.09178122092636742,9.5367431640625e-7,1.4066696166992188e-5,2.002716064453125e-5,9.5367431640625e-7,23.855129957199097,5.1021575927734375e-5,0.0,9.5367431640625e-7
34,282.42724680900574,6,5,0.56327385,0.51539147,0.7503335957848415,0.45832698618280804,0.4020860218192934,0.31963242907931616,0.8491250653334222,0.07280556539628272,0.09078297731902965,9.5367431640625e-7,2.5033950805664062e-5,2.384185791015625e-5,9.5367431640625e-7,22.382126808166504,5.0067901611328125e-5,260.0448100566864,7.867813110351562e-6
35,22.162681102752686,6,0,0.6003575,0.56280166,0.7527274286065125,0.4589324792920998,0.3999775177997431,0.323779491601901,0.8296426417098731,0.0723320081336994,0.08874569923641952,9.5367431640625e-7,1.5020370483398438e-5,2.09808349609375e-5,9.5367431640625e-7,22.162513971328735,5.0067901611328125e-5,0.0,1.1920928955078125e-6
36,283.6510109901428,6,5,0.56726766,0.53073734,0.7552978241281907,0.45603673788546956,0.39750047899713875,0.32821916069809215,0.8560386822537418,0.07436818806678983,0.08957973111295722,9.5367431640625e-7,2.5987625122070312e-5,2.7894973754882812e-5,9.5367431640625e-7,23.557564973831177,4.887580871582031e-5,260.09314703941345,8.106231689453125e-6
37,23.402851104736328,6,0,0.6527749,0.5400228,0.7573936887438449,0.46111996616476375,0.39277103721665807,0.33398882314936545,0.8228650047110084,0.07506475479299281,0.09146039835273269,0.0,1.4066696166992188e-5,2.193450927734375e-5,1.1920928955078125e-6,23.40268898010254,4.696846008300781e-5,0.0,9.5367431640625e-7
38,283.5969111919403,6,5,0.6215679,0.51263064,0.7594746681967096,0.4590807743882487,0.3929505357744936,0.33149376206356773,0.8419560448188584,0.07504386380454402,0.09010613819091808,1.1920928955078125e-6,3.0994415283203125e-5,3.4809112548828125e-5,2.1457672119140625e-6,23.533020973205566,6.198883056640625e-5,260.06353998184204,8.106231689453125e-6
39,22.319918870925903,6,0,0.60952276,0.55456644,0.7618339956884495,0.4578967306122198,0.396254888648447,0.3342333091249411,0.8489918125878002,0.07531372880484312,0.09139578956212707,0.0,1.3828277587890625e-5,2.193450927734375e-5,9.5367431640625e-7,22.319747924804688,4.9114227294921875e-5,0.0,9.5367431640625e-7
40,278.5146231651306,5,5,0.5806657,0.52251077,0.763901112388816,0.4547409635527986,0.39807565438997183,0.33670471512623784,0.8357645959510218,0.07690702411827104,0.09222408328656123,1.1920928955078125e-6,2.5987625122070312e-5,3.790855407714844e-5,1.1920928955078125e-6,19.881449937820435,4.696846008300781e-5,258.63285779953003,8.106231689453125e-6
41,20.32229995727539,5,0,0.6440088,0.53048605,0.7656413132990857,0.4526931598508142,0.406200602876829,0.34888368527351793,0.8310058851621483,0.07746371685428252,0.09101266371728683,9.5367431640625e-7,1.3828277587890625e-5,3.504753112792969e-5,9.5367431640625e-7,20.32210421562195,5.888938903808594e-5,0.0,9.5367431640625e-7
42,282.91836404800415,6,5,0.61389303,0.49991414,0.767233257312213,0.4517649491786755,0.40440024621573434,0.3452163204656398,0.8348886337866912,0.07775764797902572,0.08976257214548396,9.5367431640625e-7,3.0994415283203125e-5,4.8160552978515625e-5,1.9073486328125e-6,23.100126028060913,4.792213439941406e-5,259.817843914032,1.0013580322265625e-5
43,23.63707399368286,6,0,0.68303305,0.5050236,0.768879702837864,0.445857445002966,0.4046890036256331,0.3452716140083403,0.8330668648812312,0.07699013758569831,0.08893057688639729,9.5367431640625e-7,2.6941299438476562e-5,3.0040740966796875e-5,9.5367431640625e-7,23.636876106262207,4.887580871582031e-5,0.0,2.1457672119140625e-6
44,281.2570130825043,6,5,0.64819145,0.47678018,0.7704043970227318,0.4493396832571574,0.40021560620314783,0.34510963780220044,0.8361941913274964,0.07804760553129417,0.08855760264403699,9.5367431640625e-7,2.5987625122070312e-5,3.814697265625e-5,1.9073486328125e-6,22.144097089767456,7.200241088867188e-5,259.1125319004059,7.152557373046875e-6
45,20.29772114753723,5,0,0.6429618,0.5608706,0.7719148058173537,0.4578175806926971,0.3980200041285211,0.35511823756060695,0.8401585564105489,0.07980962828572319,0.08871086697853545,9.5367431640625e-7,1.4066696166992188e-5,2.4080276489257812e-5,9.5367431640625e-7,20.29748511314392,7.081031799316406e-5,0.0,2.1457672119140625e-6
