timestamp,gpu_util_percent,memory_used_mib,power_w
2026/05/09 09:33:59.589,11,4433,34.55
2026/05/09 09:34:00.649,6,4433,35.71
2026/05/09 09:34:01.694,6,4431,33.09
2026/05/09 09:34:02.734,6,4439,32.90
2026/05/09 09:34:03.780,9,4409,31.86
2026/05/09 09:34:04.829,7,4409,33.35
2026/05/09 09:34:05.876,7,4408,35.53
2026/05/09 09:34:06.934,14,4391,34.40
2026/05/09 09:34:07.985,3,4396,35.61
2026/05/09 09:34:09.035,16,4394,34.56
2026/05/09 09:34:10.087,9,4394,38.13
2026/05/09 09:34:11.136,9,4394,33.61
2026/05/09 09:34:12.185,10,4386,33.63
2026/05/09 09:34:13.228,15,4386,34.25
2026/05/09 09:34:14.278,12,4394,33.93
2026/05/09 09:34:15.329,12,4394,37.97
2026/05/09 09:34:16.377,8,4409,34.56
2026/05/09 09:34:17.419,7,4409,32.78
2026/05/09 09:34:18.464,17,4404,34.25
2026/05/09 09:34:19.518,9,4404,34.33
2026/05/09 09:34:20.567,9,4404,32.89
2026/05/09 09:34:21.622,6,4378,34.28
2026/05/09 09:34:22.676,6,4378,32.41
2026/05/09 09:34:23.740,8,4382,34.13
2026/05/09 09:34:24.796,12,4382,37.10
2026/05/09 09:34:25.849,9,4376,35.89
2026/05/09 09:34:26.894,13,4376,36.01
2026/05/09 09:34:27.936,1,5263,56.19
2026/05/09 09:34:28.967,1,5263,59.65
2026/05/09 09:34:29.998,1,5263,60.24
2026/05/09 09:34:31.028,1,5263,59.48
2026/05/09 09:34:32.058,1,5263,59.40
2026/05/09 09:34:33.089,1,5263,60.08
2026/05/09 09:34:34.119,1,5263,60.02
2026/05/09 09:34:35.151,1,5263,60.48
2026/05/09 09:34:36.182,1,5263,58.74
2026/05/09 09:34:37.211,1,5263,59.51
2026/05/09 09:34:38.241,1,5263,60.08
2026/05/09 09:34:39.273,2,5329,60.39
2026/05/09 09:34:40.303,0,5329,61.18
2026/05/09 09:34:41.335,1,5329,60.00
2026/05/09 09:34:42.366,0,5329,59.72
2026/05/09 09:34:43.397,1,5329,59.81
2026/05/09 09:34:44.427,1,5329,61.07
2026/05/09 09:34:45.461,1,5349,62.40
2026/05/09 09:34:46.491,59,5377,82.85
2026/05/09 09:34:47.524,42,5374,281.95
2026/05/09 09:34:48.556,41,5399,231.44
2026/05/09 09:34:49.590,50,5399,250.23
2026/05/09 09:34:50.621,44,5399,278.46
2026/05/09 09:34:51.652,41,5361,230.58
2026/05/09 09:34:52.682,62,5361,267.00
2026/05/09 09:34:53.713,33,5361,249.09
2026/05/09 09:34:54.745,1,5361,167.58
2026/05/09 09:34:55.777,34,5361,68.62
2026/05/09 09:34:56.810,34,5361,205.66
2026/05/09 09:34:57.842,63,5361,220.67
2026/05/09 09:34:58.873,33,5361,235.96
2026/05/09 09:34:59.906,32,5361,220.13
2026/05/09 09:35:00.938,62,5361,225.84
2026/05/09 09:35:01.970,33,5361,245.19
2026/05/09 09:35:03.003,33,5361,219.31
2026/05/09 09:35:04.035,33,5361,253.79
2026/05/09 09:35:05.069,33,5361,214.85
2026/05/09 09:35:06.100,10,5361,254.92
2026/05/09 09:35:07.131,33,5361,177.85
2026/05/09 09:35:08.164,50,5361,254.06
2026/05/09 09:35:09.196,42,5361,236.69
2026/05/09 09:35:10.231,42,5361,232.30
2026/05/09 09:35:11.265,43,5361,305.64
2026/05/09 09:35:12.297,33,5361,231.02
2026/05/09 09:35:13.330,68,5361,220.26
2026/05/09 09:35:14.361,31,5361,239.60
2026/05/09 09:35:15.393,44,5361,183.19
2026/05/09 09:35:16.426,48,5361,272.93
2026/05/09 09:35:17.459,8,5361,235.05
2026/05/09 09:35:18.492,49,5361,188.85
2026/05/09 09:35:19.524,43,5361,261.13
2026/05/09 09:35:20.557,43,5361,228.26
2026/05/09 09:35:21.591,53,5361,286.67
2026/05/09 09:35:22.624,42,5398,257.26
2026/05/09 09:35:23.657,67,5398,187.18
2026/05/09 09:35:24.689,35,5389,244.44
2026/05/09 09:35:25.720,35,5389,218.34
2026/05/09 09:35:26.753,34,5389,256.23
2026/05/09 09:35:27.785,31,5351,219.25
2026/05/09 09:35:28.816,57,5351,248.83
2026/05/09 09:35:29.849,34,5351,221.47
2026/05/09 09:35:30.884,50,5351,223.89
2026/05/09 09:35:31.916,57,5351,229.14
2026/05/09 09:35:32.947,34,5351,228.35
2026/05/09 09:35:33.980,60,5351,220.70
2026/05/09 09:35:35.012,31,5351,257.96
2026/05/09 09:35:36.045,34,5351,223.12
2026/05/09 09:35:37.076,33,5352,257.09
2026/05/09 09:35:38.110,36,5352,223.95
2026/05/09 09:35:39.143,49,5352,255.25
2026/05/09 09:35:40.175,30,5352,244.98
2026/05/09 09:35:41.208,33,5352,223.73
2026/05/09 09:35:42.240,33,5352,257.29
2026/05/09 09:35:43.271,38,5352,170.04
2026/05/09 09:35:44.304,40,5352,273.20
2026/05/09 09:35:45.336,37,5352,234.21
2026/05/09 09:35:46.371,46,5352,253.22
2026/05/09 09:35:47.403,57,5352,265.24
2026/05/09 09:35:48.434,31,5352,228.03
2026/05/09 09:35:49.467,32,5352,235.26
2026/05/09 09:35:50.502,44,5352,267.66
2026/05/09 09:35:51.534,34,5352,185.90
2026/05/09 09:35:52.569,35,5352,191.15
2026/05/09 09:35:53.602,44,5352,223.73
2026/05/09 09:35:54.634,32,5352,241.42
2026/05/09 09:35:55.667,32,5352,224.99
2026/05/09 09:35:56.700,33,5352,257.63
2026/05/09 09:35:57.731,32,5352,223.39
2026/05/09 09:35:58.763,39,5352,258.87
2026/05/09 09:35:59.794,32,5391,223.96
2026/05/09 09:36:00.826,13,5391,224.41
2026/05/09 09:36:01.858,34,5387,200.47
2026/05/09 09:36:02.889,63,5382,246.39
2026/05/09 09:36:03.921,34,5382,259.91
2026/05/09 09:36:04.953,33,5360,222.75
2026/05/09 09:36:05.984,63,5354,248.44
2026/05/09 09:36:07.016,42,5354,245.14
2026/05/09 09:36:08.052,45,5354,238.04
2026/05/09 09:36:09.084,34,5354,262.88
2026/05/09 09:36:10.118,40,5354,170.39
2026/05/09 09:36:11.151,33,5354,254.64
2026/05/09 09:36:12.185,42,5354,241.11
2026/05/09 09:36:13.218,63,5354,273.48
2026/05/09 09:36:14.251,42,5354,262.51
2026/05/09 09:36:15.284,43,5354,227.51
2026/05/09 09:36:16.316,60,5354,289.47
2026/05/09 09:36:17.348,32,5354,235.61
2026/05/09 09:36:18.381,39,5354,210.57
2026/05/09 09:36:19.413,43,5354,307.04
2026/05/09 09:36:20.448,43,5354,233.42
2026/05/09 09:36:21.481,49,5354,231.30
2026/05/09 09:36:22.515,42,5354,312.27
2026/05/09 09:36:23.549,32,5354,223.14
2026/05/09 09:36:24.583,45,5354,256.03
2026/05/09 09:36:25.614,43,5354,249.65
2026/05/09 09:36:26.649,43,5354,232.22
2026/05/09 09:36:27.685,1,5354,235.40
2026/05/09 09:36:28.717,53,5354,192.04
2026/05/09 09:36:29.750,34,5354,242.70
2026/05/09 09:36:30.783,31,5354,222.81
2026/05/09 09:36:31.815,35,5354,260.49
2026/05/09 09:36:32.848,33,5354,223.24
2026/05/09 09:36:33.880,31,5354,260.23
2026/05/09 09:36:34.913,31,5354,260.90
2026/05/09 09:36:35.945,32,5354,229.19
2026/05/09 09:36:36.976,30,5354,261.80
2026/05/09 09:36:38.009,36,5354,227.89
2026/05/09 09:36:39.039,11,5354,242.12
2026/05/09 09:36:40.071,32,5354,186.60
