wall_s,util_pct,mem_mb
0.04,1,4875
2.09,0,4887
4.14,0,4889
6.19,3,4881
8.24,0,4882
10.29,1,4886
12.34,6,4886
14.39,0,4886
16.44,1,4895
18.49,0,4894
20.54,0,4894
22.59,0,4866
24.64,1,5383
26.68,0,5446
28.72,0,5442
30.76,0,5442
32.80,0,5446
34.84,0,5463
36.88,0,5414
38.92,0,5398
40.97,49,5398
43.01,47,5398
45.05,0,5430
47.09,28,5430
49.14,33,5430
51.18,26,5430
53.22,25,5430
55.27,33,5430
57.31,28,5430
59.36,29,5422
61.40,0,5432
63.44,45,5432
65.49,48,5430
67.53,29,5430
69.57,39,5430
71.62,25,5430
73.66,25,5430
75.70,34,5430
77.75,26,5429
79.79,26,5428
81.84,41,5428
83.88,51,5428
