stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
1,0.19561982154846191,0,0,1.0,0.09762438202962109,0.05548917838471154,0.2959598949425707,0.09490694569916792
2,23.480713844299316,5,5,1.0,0.09503506122119791,0.05931131404419524,0.29175707404930723,0.0914359674741382
3,0.14213299751281738,5,0,1.0545319,0.09282065544226996,0.06330656205912692,0.28735065511025715,0.08552006454777471
4,15.530798196792603,5,5,1.0532384,0.09069537305521197,0.07159372479303688,0.2743535985962364,0.08440303200244902
5,0.11095595359802246,5,0,1.2891682,0.08941548323616484,0.078865037328727,0.2777353079574682,0.08411928140332452
6,15.616493940353394,5,5,1.3043245,0.08795186906917472,0.0853200898835448,0.2763772395264921,0.07839253167561047
7,0.15037918090820312,5,0,1.2676444,0.086681663240084,0.09156687380984369,0.2752090224199362,0.08159236206578123
8,15.402623891830444,5,5,1.2759242,0.0856501398891632,0.09999924246400232,0.2712989366209343,0.07529090550234505
9,0.12644410133361816,5,0,1.2675474,0.08432384993125187,0.10632743925928084,0.2676196461616053,0.0758712138156736
10,15.959682941436768,5,5,1.2802683,0.08346940781581887,0.11599734122404384,0.2713490223453243,0.07775664097525387
11,0.13072705268859863,5,0,1.2808911,0.08272656544308366,0.11952384744650388,0.2713169744482695,0.07502585872804875
12,15.010544061660767,5,5,1.2958654,0.08168587320265122,0.1275136294363881,0.27239547657553637,0.06674066446711274
13,0.1682720184326172,5,0,1.3149921,0.08033947432554289,0.1340038486620274,0.2743191205759733,0.06390993871201904
14,14.99092411994934,5,5,1.3245282,0.07909662739676793,0.13862905499135525,0.2756463547942023,0.0602518072995209
15,0.12955999374389648,5,0,1.2187556,0.07778979944026895,0.1436261887449651,0.2741509586194166,0.06098763691957617
16,15.418156862258911,5,5,1.2267667,0.0768339595256934,0.15050540827457917,0.2706310770262555,0.06255639952055549
17,0.15894699096679688,5,0,1.2957554,0.0760598718908496,0.15773338087124103,0.27225798417632185,0.06265907235269842
18,14.724003791809082,5,5,1.3124123,0.0755380619678803,0.16429693778313081,0.27537400159492265,0.07181962104867334
19,0.1651780605316162,5,0,1.2928759,0.07532571606022008,0.17157619515218728,0.27258567123128097,0.07307517652054023
20,15.236154079437256,5,5,1.3008653,0.0750857249470911,0.17756248645478778,0.2733329682147822,0.06899623463258248
21,0.1703660488128662,5,0,1.3195227,0.07455342027965119,0.18305227975141478,0.27392298696105555,0.061419589555603483
22,18.71804189682007,5,6,1.3311427,0.07394695962015652,0.1875424983684163,0.27130121416211184,0.06278697384217015
23,0.1326289176940918,5,0,1.28758,0.07348609910216934,0.19391395399738498,0.2710140588311172,0.06609048249625395
24,18.679938077926636,5,6,1.2983226,0.07324801935525233,0.19860569824014146,0.2698601916031337,0.07148619918689354
25,0.1660289764404297,5,0,1.3552028,0.07310398368404276,0.20266834128439765,0.26111650144069254,0.07057810982619322
26,15.447413921356201,5,5,1.370905,0.07298826560945627,0.20961598368452203,0.26343833318874443,0.06934496217355099
27,0.15987110137939453,5,0,1.4197817,0.07302869755420292,0.2174361941707815,0.26791648312845884,0.0765741921224864
28,15.182804107666016,5,5,1.4322716,0.0730778544636517,0.2222224095164313,0.2758171490602686,0.07251275979031292
29,0.17129111289978027,5,0,1.2565475,0.07314171621613262,0.2283583661194567,0.2793691609246879,0.07650058840267344
30,15.003123044967651,5,5,1.2695884,0.0731881297343879,0.2354238866582392,0.2755243260470277,0.07175096599046284
31,0.16440796852111816,5,0,1.2800506,0.07320159306509229,0.2402834070439127,0.27534828901803765,0.07663864309832047
32,15.296189785003662,5,5,1.2853856,0.07325912477224454,0.2434569705836295,0.2681842294227814,0.07611530544225084
33,0.10123300552368164,5,0,1.3065988,0.07336418477988615,0.24973615760487333,0.2717559803206067,0.07930788020820094
34,14.944813013076782,5,5,1.318171,0.07358819823720568,0.25617933292745854,0.2694849177637466,0.08299703320965214
35,0.09712100028991699,5,0,1.290131,0.07389637424781223,0.2616960309671426,0.2715845142476671,0.08494676553308882
36,15.238871097564697,5,5,1.3035558,0.07419563349951155,0.26683061768238314,0.27415438127476677,0.08402761957012733
37,0.10152602195739746,5,0,1.2578111,0.0745168582697678,0.27563104717163756,0.2716061992565114,0.0876230879566685
38,17.728869915008545,5,6,1.2668327,0.07497772865563858,0.28110706056598284,0.26556601209059366,0.09596977174122794
39,0.5532209873199463,5,0,1.3825728,0.07561563232280166,0.28845829346063806,0.2717972064828884,0.09889488727536051
40,17.673646926879883,5,6,1.4003533,0.0762145623869681,0.29114376848319823,0.27410197069696807,0.10067641605855594
41,0.14829206466674805,5,0,1.287624,0.07685767431684132,0.2924922087727752,0.26740147371097817,0.10494746574232951
42,18.339406967163086,5,6,1.2992039,0.07757244052443175,0.2996052004113444,0.26790419568094653,0.10999940239277649
43,0.12671804428100586,5,0,1.3663406,0.07840868157083014,0.3061908737050341,0.2640257454974969,0.11500182978301048
44,18.33241581916809,5,6,1.3858417,0.07925292052411452,0.3090617894417329,0.2697023778857378,0.11647992661336083
45,0.16919493675231934,5,0,1.3927945,0.08007489971302027,0.3158310030192187,0.27018096914857137,0.11725456132104768
46,18.706902980804443,5,6,1.4136022,0.08093318034062463,0.32792678872089737,0.268586999339504,0.12156674893817243
47,0.17846012115478516,5,0,1.3814224,0.08179317282632742,0.33608708143067245,0.2655980475199269,0.12398363573004424
