timestamp,gpu_util_percent,memory_used_mib,power_w
2026/05/09 00:49:43.103,6,4887,37.02
2026/05/09 00:49:44.146,22,4914,35.73
2026/05/09 00:49:45.183,5,4914,36.29
2026/05/09 00:49:46.218,1,4914,40.99
2026/05/09 00:49:47.254,3,4914,41.03
2026/05/09 00:49:48.297,6,4890,30.64
2026/05/09 00:49:49.340,6,4913,31.99
2026/05/09 00:49:50.383,6,4910,32.49
2026/05/09 00:49:51.429,6,4910,32.49
2026/05/09 00:49:52.485,6,4910,31.68
2026/05/09 00:49:53.531,6,4910,31.20
2026/05/09 00:49:54.592,7,4886,31.37
2026/05/09 00:49:55.633,6,4886,31.99
2026/05/09 00:49:56.678,10,4886,37.01
2026/05/09 00:49:57.720,9,4886,34.89
2026/05/09 00:49:58.766,6,4886,34.91
2026/05/09 00:49:59.813,7,4886,34.75
2026/05/09 00:50:00.861,15,4882,34.87
2026/05/09 00:50:01.907,8,4880,34.03
2026/05/09 00:50:02.949,6,4880,34.54
2026/05/09 00:50:03.996,9,4880,34.31
2026/05/09 00:50:05.047,12,4895,35.48
2026/05/09 00:50:06.090,4,4892,36.31
2026/05/09 00:50:07.132,8,4893,33.95
2026/05/09 00:50:08.190,9,4920,34.47
2026/05/09 00:50:09.240,9,4911,35.12
2026/05/09 00:50:10.298,10,4908,34.81
2026/05/09 00:50:11.338,1,5795,42.14
2026/05/09 00:50:12.369,1,5795,59.98
2026/05/09 00:50:13.400,1,5773,60.10
2026/05/09 00:50:14.431,1,5778,60.37
2026/05/09 00:50:15.462,1,5778,60.26
2026/05/09 00:50:16.494,1,5774,60.28
2026/05/09 00:50:17.526,1,5774,60.79
2026/05/09 00:50:18.558,1,5774,60.71
2026/05/09 00:50:19.589,1,5776,60.74
2026/05/09 00:50:20.620,2,5774,60.92
2026/05/09 00:50:21.652,1,5781,60.33
2026/05/09 00:50:22.683,1,5843,60.60
2026/05/09 00:50:23.715,1,5843,60.01
2026/05/09 00:50:24.747,0,5843,59.15
2026/05/09 00:50:25.778,0,5843,59.21
2026/05/09 00:50:26.809,0,5815,59.40
2026/05/09 00:50:27.840,1,5815,59.68
2026/05/09 00:50:28.873,40,5847,160.94
2026/05/09 00:50:29.904,1,5847,163.70
2026/05/09 00:50:30.934,39,5847,82.46
2026/05/09 00:50:31.965,52,5847,346.04
2026/05/09 00:50:32.997,56,5847,386.66
2026/05/09 00:50:34.029,57,5847,387.52
2026/05/09 00:50:35.060,51,5847,390.08
2026/05/09 00:50:36.093,51,5847,388.82
2026/05/09 00:50:37.125,53,5847,387.83
2026/05/09 00:50:38.158,67,5847,280.12
