param,truth,median_no_HMC_constrained,median_no_HMC_log,std_no_HMC_log,median_HMC_unified_constrained,median_HMC_unified_log,std_HMC_unified_log,abs_rel_err_no_HMC_pct,abs_rel_err_HMC_unified_pct,winner
tau_F,7.0,7.699377145898575,2.0411394354446353,0.0003460565198860135,7.150992735150453,1.9672511586605836,0.23994375513519983,9.991102084265359,2.1570390735778995,HMC_unified
B_inf,0.504,0.4735105923537647,-0.7475809962709172,0.000333411989573837,0.5320127873608715,-0.6310877612953352,0.1648812213517425,6.0494856440943074,5.558092730331654,HMC_unified
F_inf,0.21,0.23551959054341184,-1.4459611819646558,0.00035001233202436956,0.22285503456714476,-1.5012338329150274,0.1415491982309241,12.152185973053262,6.121445031973697,HMC_unified
lambda_A,1.0,0.9863722583073296,-0.013721451709248284,0.00034218267974805815,1.0083633056083556,0.008328498741356617,0.30208343978852287,1.3627741692670448,0.8363305608355631,HMC_unified
mu_0,0.02,0.020205076700471288,-3.901821384345868,0.00034863297788447216,0.0203057286440572,-3.8968522349513597,0.28723353513722527,1.0253835023564355,1.5286432202859905,no_HMC
mu_B,0.3,0.3003052114763709,-1.2029559499116695,0.0003570664275549891,0.3036098511581361,-1.1920121207835086,0.2928417530280997,0.10173715879030487,1.2032837193787043,no_HMC
mu_F,0.1,0.10411468587948969,-2.262262238580462,0.0003529696096621207,0.09873227358097023,-2.3153444801295433,0.2834137299689518,4.114685879489682,1.26772641902978,HMC_unified
sigma_B,0.01,0.010288826288504489,-4.57669679895593,0.0003643580149091361,0.009748821546137553,-4.6306088694745196,0.28860602308987554,2.8882628850448837,2.511784538624471,HMC_unified
sigma_F,0.012,0.011851271461379152,-4.4353201208390765,0.0003572197696648983,0.01096791134362105,-4.512781536412661,0.2675790151178111,1.2394044885070694,8.600738803157917,no_HMC
sigma_A,0.02,0.020220046378682,-3.9010807716908364,0.00035815299988542867,0.01905746046050907,-3.9602974154191957,0.2707438272363576,1.1002318934100024,4.712697697454652,no_HMC
