param,truth,median_no_HMC_constrained,median_no_HMC_log,std_no_HMC_log,median_HMC_unified_constrained,median_HMC_unified_log,std_HMC_unified_log,abs_rel_err_no_HMC_pct,abs_rel_err_HMC_unified_pct,winner
tau_F,7.0,7.704822781769974,2.0418464680870567,0.00036512064115162124,7.72546711908579,2.044522108959465,0.2180268964752952,10.068896882428202,10.36381598693986,no_HMC
B_inf,0.504,0.4724394044956364,-0.7498457847261251,0.000338711307782061,0.5225888980673699,-0.6489626226228331,0.2146020130255615,6.262022917532467,3.688273426065447,HMC_unified
F_inf,0.21,0.23516100587781846,-1.4474848680386168,0.0003669930549429199,0.2004834533473076,-1.6070235817205611,0.19000223008950443,11.981431370389748,4.53168888223447,HMC_unified
lambda_A,1.0,0.9853294197706545,-0.014779257406104716,0.00032946925374561126,0.9882186182158372,-0.011851503819640941,0.2575744547910384,1.4670580229345531,1.178138178416277,HMC_unified
mu_0,0.02,0.020261000413356177,-3.8990574026365796,0.0003391256247340152,0.019609961213132913,-3.9317176246637207,0.2594730868545655,1.3050020667808824,1.9501939343354382,no_HMC
mu_B,0.3,0.2995817684725455,-1.2053678820864158,0.0003474198689684545,0.25523873892030924,-1.3655567723583943,0.21277807357981054,0.1394105091515052,14.920420359896918,no_HMC
mu_F,0.1,0.1043363593206863,-2.2601353744570494,0.0003302087311246501,0.10722675867349081,-2.2328101039004427,0.2612188233898364,4.336359320686294,7.226758673490805,no_HMC
sigma_B,0.01,0.010311286593169947,-4.574516197936869,0.0003456940171488488,0.00970545666026106,-4.635067967513576,0.2512278927862406,3.1128659316994636,2.9454333973893965,HMC_unified
sigma_F,0.012,0.011818072135602174,-4.438125382202825,0.0003602123969416619,0.01090071995634917,-4.518926445789276,0.2464276901829791,1.51606553664855,9.160667030423587,no_HMC
sigma_A,0.02,0.020228852363404215,-3.900645358853593,0.0003384849841157353,0.02119632073271588,-3.8539277305755846,0.25396780699543964,1.144261817021073,5.981603663579391,no_HMC
