stride,level,lambda_pre,lambda_post,delta_lambda,chees_L,accept_pct
26,1,0.0,0.2,0.2,64,85.0
26,2,0.2,0.4,0.2,64,78.0
26,3,0.4,0.6,0.2,64,71.0
26,4,0.6,0.8,0.2,64,66.0
26,5,0.8,1.0,0.2,32,70.0
27,1,0.0,0.2,0.2,64,84.0
27,2,0.2,0.4,0.2,64,75.0
27,3,0.4,0.6,0.2,64,70.0
27,4,0.6,0.8,0.2,32,70.0
27,5,0.8,1.0,0.2,64,54.0
28,1,0.0,0.2,0.2,64,81.0
28,2,0.2,0.4,0.2,64,68.0
28,3,0.4,0.6,0.2,64,61.0
28,4,0.6,0.8,0.2,32,66.0
28,5,0.8,1.0,0.2,64,49.0
29,1,0.0,0.2,0.2,64,85.0
29,2,0.2,0.4,0.2,64,76.0
29,3,0.4,0.6,0.2,64,66.0
29,4,0.6,0.8,0.2,64,57.0
29,5,0.8,1.0,0.2,32,63.0
30,1,0.0,0.2,0.2,64,88.0
30,2,0.2,0.4,0.2,64,80.0
30,3,0.4,0.6,0.2,64,72.0
30,4,0.6,0.8,0.2,64,67.0
30,5,0.8,1.0,0.2,32,73.0
31,1,0.0,0.2,0.2,32,69.0
31,2,0.2,0.4,0.2,32,65.0
31,3,0.4,0.6,0.2,32,60.0
31,4,0.6,0.8,0.2,64,38.0
31,5,0.8,1.0,0.2,16,59.0
32,1,0.0,0.2,0.2,64,76.0
32,2,0.2,0.4,0.2,64,61.0
32,3,0.4,0.6,0.2,32,61.0
32,4,0.6,0.8,0.2,32,53.0
32,5,0.8,1.0,0.2,64,27.0
33,1,0.0,0.2,0.2,32,94.0
33,2,0.2,0.4,0.2,64,80.0
33,3,0.4,0.6,0.2,64,74.0
33,4,0.6,0.8,0.2,32,76.0
33,5,0.8,1.0,0.2,32,74.0
34,1,0.0,0.2,0.2,64,83.0
34,2,0.2,0.4,0.2,64,72.0
34,3,0.4,0.6,0.2,64,62.0
34,4,0.6,0.8,0.2,64,53.0
34,5,0.8,1.0,0.2,32,60.0
35,1,0.0,0.2,0.2,64,91.0
35,2,0.2,0.4,0.2,64,82.0
35,3,0.4,0.6,0.2,32,84.0
35,4,0.6,0.8,0.2,64,68.0
35,5,0.8,1.0,0.2,32,74.0
36,1,0.0,0.2,0.2,64,87.0
36,2,0.2,0.4,0.2,64,77.0
36,3,0.4,0.6,0.2,64,69.0
36,4,0.6,0.8,0.2,64,61.0
36,5,0.8,1.0,0.2,64,55.0
37,1,0.0,0.2,0.2,64,78.0
37,2,0.2,0.4,0.2,64,59.0
37,3,0.4,0.6,0.2,32,60.0
37,4,0.6,0.8,0.2,64,35.0
37,5,0.8,1.0,0.2,64,28.0
38,1,0.0,0.2,0.2,64,85.0
38,2,0.2,0.4,0.2,32,84.0
38,3,0.4,0.6,0.2,64,67.0
38,4,0.6,0.8,0.2,64,61.0
38,5,0.8,1.0,0.2,32,68.0
39,1,0.0,0.2,0.2,64,79.0
39,2,0.2,0.4,0.2,64,71.0
39,3,0.4,0.6,0.2,64,65.0
39,4,0.6,0.8,0.2,64,61.0
39,5,0.8,1.0,0.2,32,66.0
40,1,0.0,0.2,0.2,64,88.0
40,2,0.2,0.4,0.2,32,85.0
40,3,0.4,0.6,0.2,64,75.0
40,4,0.6,0.8,0.2,64,69.0
40,5,0.8,1.0,0.2,32,74.0
41,1,0.0,0.2,0.2,64,89.0
41,2,0.2,0.4,0.2,64,82.0
41,3,0.4,0.6,0.2,64,74.0
41,4,0.6,0.8,0.2,64,65.0
41,5,0.8,1.0,0.2,64,60.0
42,1,0.0,0.2,0.2,64,83.0
42,2,0.2,0.4,0.2,64,70.0
42,3,0.4,0.6,0.2,64,64.0
42,4,0.6,0.8,0.2,64,56.0
42,5,0.8,1.0,0.2,64,48.0
43,1,0.0,0.2,0.2,64,86.0
43,2,0.2,0.4,0.2,64,78.0
43,3,0.4,0.6,0.2,64,68.0
43,4,0.6,0.8,0.2,64,59.0
43,5,0.8,1.0,0.2,64,51.0
44,1,0.0,0.2,0.2,64,77.0
44,2,0.2,0.4,0.2,64,63.0
44,3,0.4,0.6,0.2,32,67.0
44,4,0.6,0.8,0.2,64,43.0
44,5,0.8,1.0,0.2,32,54.0
45,1,0.0,0.2,0.2,64,80.0
45,2,0.2,0.4,0.2,64,69.0
45,3,0.4,0.6,0.2,64,59.0
45,4,0.6,0.8,0.2,32,68.0
45,5,0.8,1.0,0.2,32,62.0
46,1,0.0,0.2,0.2,64,81.0
46,2,0.2,0.4,0.2,64,75.0
46,3,0.4,0.6,0.2,64,67.0
46,4,0.6,0.8,0.2,64,61.0
46,5,0.8,1.0,0.2,64,52.0
47,1,0.0,0.2,0.2,64,60.0
47,2,0.2,0.4,0.2,64,47.0
47,3,0.4,0.6,0.2,32,54.0
47,4,0.6,0.8,0.2,64,25.0
47,5,0.8,1.0,0.2,16,53.0
48,1,0.0,0.2,0.2,32,79.0
48,2,0.2,0.4,0.2,64,44.0
48,3,0.4,0.6,0.2,32,45.0
48,4,0.6,0.8,0.2,64,15.0
48,5,0.8,1.0,0.2,16,43.0
49,1,0.0,0.2,0.2,64,81.0
49,2,0.2,0.4,0.2,64,67.0
49,3,0.4,0.6,0.2,64,56.0
49,4,0.6,0.8,0.2,64,49.0
49,5,0.8,1.0,0.2,64,40.0
50,1,0.0,0.2,0.2,64,74.0
50,2,0.2,0.4,0.2,32,68.0
50,3,0.4,0.6,0.2,64,46.0
50,4,0.6,0.8,0.2,32,53.0
50,5,0.8,1.0,0.2,64,29.0
51,1,0.0,0.2,0.2,64,57.0
51,2,0.2,0.4,0.2,16,62.0
51,3,0.4,0.6,0.2,16,51.0
51,4,0.6,0.8,0.2,16,39.0
51,5,0.8,1.0,0.2,32,13.0
52,1,0.0,0.2,0.2,64,67.0
52,2,0.2,0.4,0.2,64,49.0
52,3,0.4,0.6,0.2,32,57.0
52,4,0.6,0.8,0.2,64,30.0
52,5,0.8,1.0,0.2,64,29.0
53,1,0.0,0.2,0.2,64,67.0
53,2,0.2,0.4,0.2,64,49.0
53,3,0.4,0.6,0.2,64,37.0
53,4,0.6,0.8,0.2,64,27.0
53,5,0.8,1.0,0.2,64,19.0
54,1,0.0,0.2,0.2,64,84.0
54,2,0.2,0.4,0.2,32,79.0
54,3,0.4,0.6,0.2,64,60.0
54,4,0.6,0.8,0.2,64,50.0
54,5,0.8,1.0,0.2,32,59.0
