T_days,n_levels,mean_accept_pct,median_accept_pct,min_accept_pct,max_accept_pct,mean_chees_L,mean_levels_per_stride
14.0,130,71.35384615384615,73.0,24.0,94.0,58.215384615384615,5.0
28.0,270,65.47407407407407,68.0,13.0,94.0,54.696296296296296,5.0
42.0,410,61.90243902439025,64.0,10.0,93.0,51.84390243902439,5.0
