param,truth,median_no_HMC_constrained,median_no_HMC_log,std_no_HMC_log,median_HMC_unified_constrained,median_HMC_unified_log,std_HMC_unified_log,abs_rel_err_no_HMC_pct,abs_rel_err_HMC_unified_pct,winner
tau_F,7.0,7.76034096897279,2.0490262725304413,0.0003438400926106212,7.296358403893866,1.9873749615626255,0.2792220728190109,10.862013842468432,4.23369148419808,HMC_unified
B_inf,0.504,0.4717371900181401,-0.7513332492768836,0.00034106163227452194,0.527005097746466,-0.6405450653819835,0.11841144767685992,6.40135118687697,4.564503521124201,HMC_unified
F_inf,0.21,0.23399822756867078,-1.4524417381460166,0.0003585540141935047,0.2086301346294458,-1.5671922882972262,0.11264719481165088,11.427727413652756,0.6523168431210459,HMC_unified
lambda_A,1.0,0.9813529735159681,-0.018823074230280085,0.0003502350921055184,0.9779916552636173,-0.022254610717740077,0.24422537602175712,1.8647026484031937,2.200834473638269,no_HMC
mu_0,0.02,0.020212559534350076,-3.901451108661003,0.00034374931919224026,0.02005909526211131,-3.909073286862129,0.24746671650651472,1.0627976717503782,0.29547631055655205,HMC_unified
mu_B,0.3,0.2999349272478143,-1.2041897370280918,0.00034485618664627346,0.3320477699871227,-1.1024777368918288,0.11427518355341235,0.02169091739523399,10.682589995707573,no_HMC
mu_F,0.1,0.10401137001360997,-2.2632550587625895,0.00035148553390233083,0.09753543902581817,-2.3275394905930646,0.2576744239312812,4.011370013609961,2.4645609741818366,HMC_unified
sigma_B,0.01,0.010270483536435112,-4.578481173731882,0.0003728009601991992,0.01082914366958156,-4.525514292226344,0.25909953589055285,2.704835364351118,8.291436695815596,no_HMC
sigma_F,0.012,0.01184533199104634,-4.4358214138159715,0.00033481316507265026,0.011674660124313646,-4.450334597775692,0.232290235631138,1.2889000746138408,2.711165630719618,no_HMC
sigma_A,0.02,0.020203301149789625,-3.901909264670816,0.00033416327240373044,0.018929823063896248,-3.9670177531717448,0.22467768701392402,1.016505748948123,5.350884680518763,no_HMC
