stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
2,1,0.0,0.5257138638285827,0.5257138638285827,4.659478176821195,512.0000000085834,1024,12,16,25.848178791190072,16;32;64;128;256;512,25.848178791190072;13.730505443891078;9.270881706696512;2.7384412839054795;2.4275953195381788;0.16754344135351387,0.2,8,8137,0.9932861328125,5.209077736320978,6.566216178716786,1.357138442395808,52.615760606027024,16.442425189383442,2.5600779056549072
2,2,0.5257138638285827,1.2659878026602216,0.740273938831639,4.659478176821195,512.0000002855381,1024,12,16,20.34534429426201,16;32;64;128;256;512,20.34534429426201;9.039516374929418;5.256063597454608;0.9277560237960488;1.1800428270055914;0.2366857886422938,0.2,8,8143,0.9940185546875,6.566216178716786,7.86517101796926,1.298954839252474,47.914345749338814,14.973233046668378,2.2305819988250732
2,3,1.2659878026602216,2.1978834380244607,0.9318956353642391,4.659478176821195,637.9879918041354,1024,12,16,19.562709512895776,16;32;64;128;256;512,19.562709512895776;6.156509618488336;4.361961791394876;1.694411242933449;1.0523237240886745;0.24628247600253636,0.2,8,8122,0.991455078125,7.86517101796926,8.634635346657888,0.7694643286886276,42.8998952105764,13.406217253305126,2.235780954360962
2,4,2.1978834380244607,3.1297790733886997,0.9318956353642389,4.659478176821195,813.648141311176,1024,12,16,20.65084557075811,16;32;64;128;256;512,20.65084557075811;9.86401109201474;5.406619572168541;1.9440038043694026;1.226910825370358;0.1265158080739194,0.2,8,8098,0.988525390625,8.634635346657888,8.943594152828155,0.30895880617026705,41.3384278680107,12.918258708753342,2.482983112335205
2,5,3.1297790733886997,4.061674708752939,0.9318956353642394,4.659478176821195,903.7457508738852,1024,12,16,16.606383835717885,16;32;64;128;256;512,16.606383835717885;7.820502934142329;5.416392860075059;1.8169454698409737;1.3966315935466618;0.19906189493021592,0.2,8,8066,0.984619140625,8.943594152828155,9.135520043353608,0.19192589052545372,40.17508819000122,12.554715059375381,2.4620227813720703
2,6,4.061674708752939,4.659478176821195,0.597803468068256,4.659478176821195,986.0073796187479,1024,12,16,26.6989424805346,16;32;64;128;256;512,26.6989424805346;8.60020658280383;5.56863417882173;1.3408352889508885;1.6090798679842613;0.25364959342700594,0.2,8,8065,0.9844970703125,9.135520043353608,9.207903489201271,0.0723834458476631,39.78951739879209,12.434224187122528,2.19874906539917
4,1,0.0,0.4310312051352393,0.4310312051352393,3.919824482741316,512.0000000931609,1024,12,16,19.230683133707732,16;32;64;128;256;512,19.230683133707732;9.87857266255406;5.822908298836268;1.5813512735321413;1.394189140748019;0.12181639710580648,0.2,8,8156,0.99560546875,6.472709930569181,8.202780739378795,1.7300708088096144,54.03943416678374,16.887323177119917,2.2240829467773438
4,2,0.4310312051352393,0.9821325428197122,0.5511013376844729,3.919824482741316,512.0000003799219,1024,12,16,26.283203829567032,16;32;64;128;256;512,26.283203829567032;10.711994065344848;6.583205771398482;2.0421919588665314;1.632246753607881;0.23012592796295628,0.2,8,8137,0.9932861328125,8.202780739378795,9.77657576929414,1.5737950299153454,48.97007419111353,15.303148184722978,2.2303919792175293
4,3,0.9821325428197122,1.7660974393679756,0.7839648965482634,3.919824482741316,526.6368374871946,1024,12,16,33.64718473282071,16;32;64;128;256;512,33.64718473282071;9.705018835750188;7.477570818053884;1.728839559361871;1.787325880479761;0.2247671251500959,0.2,8,8120,0.9912109375,9.77657576929414,11.012907696022012,1.2363319267278712,43.294133712787655,13.529416785246141,2.262753963470459
4,4,1.7660974393679756,2.550062335916239,0.7839648965482633,3.919824482741316,744.967505813945,1024,12,16,20.127665607246595,16;32;64;128;256;512,20.127665607246595;8.346926600689613;4.299760512679122;0.9473384008985261;0.9828347648460014;0.21678139612208452,0.2,8,8102,0.989013671875,11.012907696022012,11.606517600826919,0.5936099048049073,39.21550475038717,12.25484523449599,2.256251096725464
