wall_s,util_pct,mem_mb
0.04,2,4742
2.09,2,4743
4.14,4,4679
6.20,1,4707
8.26,0,4709
10.31,1,4700
12.35,0,4665
14.40,0,4693
16.45,0,4694
18.50,0,4692
20.55,0,4667
22.60,0,4666
24.64,0,5169
26.68,0,5216
28.72,0,5216
30.76,0,5217
32.81,0,5217
34.85,0,5281
36.89,0,5281
38.93,52,5281
40.97,61,5285
43.02,0,5285
45.06,64,5285
47.10,61,5318
49.15,51,5322
51.19,46,5321
53.24,37,5321
55.28,39,5321
57.32,26,5321
59.37,27,5337
61.41,42,5338
63.46,25,5337
65.50,58,5333
67.54,64,5333
69.58,57,5333
71.63,57,5333
73.67,27,5333
75.71,25,5377
77.75,28,5376
79.80,27,5376
81.84,21,5371
83.89,40,5371
85.93,25,5371
87.98,60,5371
90.02,58,5375
