wall_s,util_pct,mem_mb
0.04,0,4774
2.09,1,4774
4.14,1,4777
6.19,0,4777
8.25,0,4777
10.29,0,4777
12.34,3,4777
14.38,0,4777
16.43,0,4777
18.48,6,4777
20.53,0,4777
22.58,0,4777
24.62,0,5280
26.66,0,5504
28.70,0,5504
30.75,0,5504
32.79,0,5504
34.83,0,5570
36.87,0,5570
38.91,59,5570
40.96,72,5570
43.00,71,5570
45.04,73,5570
47.09,70,5570
49.13,0,5570
51.18,72,5570
53.22,70,5570
55.26,76,5570
57.31,80,5608
59.35,0,5635
61.39,29,5627
63.44,23,5603
65.48,34,5609
67.53,35,5607
69.57,29,5594
71.61,25,5594
73.66,28,5594
75.70,72,5594
77.74,80,5594
79.78,82,5594
81.83,72,5594
83.87,80,5594
85.91,75,5594
87.96,70,5594
90.00,68,5594
92.04,27,5594
94.08,28,5594
96.13,24,5594
98.17,28,5594
100.21,44,5594
102.25,27,5594
104.30,26,5594
106.34,68,5626
108.38,75,5626
110.43,79,5626
112.47,79,5626
114.51,81,5626
