stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end
1,0.2362380027770996,0,0,1.0,1.0,0.09790265716915138,0.057578670618512226,0.10429441956841405,0.3133731490629026,0.09110623873934215,0.0326794977616164,0.0523075456968216
2,109.92512893676758,11,5,1.0,1.0,0.09224811433062045,0.06171108358022133,0.10886742302385435,0.3315239074219715,0.07947372892352582,0.03443758294360644,0.054548264709335555
3,24.920021057128906,6,0,0.74654585,0.58497494,0.08705312573542102,0.06841001812630008,0.10864789754646581,0.33530053265526694,0.07512075277220553,0.03538920271986941,0.056412698592131244
4,79.35839295387268,5,5,0.7280443,0.5675606,0.08286376667373327,0.07197866624919723,0.11167237767502322,0.3393265000998801,0.06663497079625656,0.037242952294910994,0.05762345846275864
5,21.056113958358765,5,0,0.6958838,0.62024474,0.07960085452039899,0.08047601783447374,0.1113018719546688,0.3567030141366231,0.06661949805264852,0.038567767773099886,0.05950649799528419
6,82.54749178886414,6,5,0.6743553,0.60256267,0.07728682148954139,0.08258450425188951,0.112696424074131,0.35865104467257375,0.06309179204222155,0.040418087354051065,0.0606816632403686
7,20.2200288772583,5,0,0.7057784,0.60636383,0.07493330216205492,0.08534858096114066,0.1116950868457675,0.36275988231550466,0.05620397920898584,0.04175838141467034,0.06258645326783986
8,83.00426387786865,6,5,0.69003123,0.59039533,0.07272949243907782,0.08997554113140502,0.11375164665773813,0.3744657332285934,0.05730144999092322,0.043031884785820464,0.06427061181130816
9,23.04827308654785,6,0,0.6038483,0.63567656,0.07038601922975662,0.0907298761312638,0.11527239231080094,0.3766777683953706,0.051226617239526505,0.04346315062065651,0.06493726590659042
10,78.6984601020813,5,5,0.5871251,0.61416477,0.0682553570512333,0.09406105442689752,0.11494636311168215,0.38506774044290737,0.045286903312317404,0.045525427496163645,0.06661389289287661
11,19.616968154907227,5,0,0.6347648,0.6036976,0.06593044366435415,0.09102692162092045,0.11459107509795134,0.38627072835316556,0.042312493304829175,0.04818001496005364,0.06718176467692095
12,76.94414496421814,5,5,0.61766434,0.58048797,0.06390416581779898,0.09883888479000792,0.11803909137448429,0.3963048297490281,0.03890506774328627,0.050346817039276334,0.06731076013623619
