T_days,n_strides,n_replans,total_wall_s,mean_stride_wall_s,max_stride_wall_s,mean_filter_n_temp,mean_ctrl_n_temp,mean_gpu_util_pct,pct_time_gpu_above_90,peak_vram_mib,mean_power_w,mean_A_mpc,final_A_mpc,mean_A_baseline,final_A_baseline,final_B_mpc,final_F_mpc,n_F_violations,pct_F_violations,max_F_overshoot,mean_phi_per_stride,final_phi_per_stride,mean_phi_at_stride21,bench_exit_code
14,27,13,133.2,4.76,16.0,5.0,5.31,29.6,0.0,5399.0,181.0,0.0766,0.0847,0.1138,0.1819,0.0843,0.1007,0,0.0,0.0,0.3384,0.4576,0.377,0
28,55,27,342.0,6.13,18.35,5.0,5.04,47.5,0.0,5390.0,280.3,0.0947,0.1607,0.1808,0.3417,0.2822,0.2195,0,0.0,0.0,0.9259,1.1839,0.8451,0
42,83,41,715.5,8.56,23.48,5.0,5.61,58.3,0.0,6091.0,335.7,0.1673,0.5205,0.2848,0.6462,0.5957,0.3103,0,0.0,0.0,1.521,2.3075,1.3195,0
56,111,55,1234.6,11.08,29.46,5.0,5.96,65.2,0.0,5273.0,369.7,0.3319,1.0662,0.401,0.8244,0.8506,0.2381,0,0.0,0.0,1.7735,2.0826,1.4842,0
70,139,69,1790.8,12.85,31.86,5.0,5.97,71.0,0.005,5272.0,398.5,0.4914,1.1972,0.4921,0.8937,0.9732,0.1664,0,0.0,0.0,1.7744,1.5977,1.4514,0
84,167,83,2456.6,14.68,37.04,5.0,5.93,74.5,0.026,5776.0,415.4,0.6115,1.2376,0.5648,0.9071,1.0,0.1372,0,0.0,0.0,1.7214,1.4169,1.4112,0
