wall_s,util_pct,mem_mb
0.04,0,4707
2.08,1,4745
4.13,1,4746
6.18,0,4712
8.23,0,4684
10.28,0,4684
12.32,0,4684
14.37,0,4676
16.41,0,4676
18.46,0,4675
20.51,0,4675
22.56,0,4675
24.60,0,5306
26.64,0,5307
28.68,0,5307
30.72,0,5307
32.77,0,5373
34.81,0,5372
36.85,67,5377
38.89,76,5377
40.94,75,5388
42.98,80,5403
45.02,0,5390
47.07,67,5352
49.11,66,5352
51.15,65,5352
53.19,0,5326
55.23,21,5326
57.28,32,5326
59.32,35,5334
61.37,43,5335
63.41,28,5353
65.45,26,5419
67.49,25,5468
69.54,25,5657
71.58,60,5691
73.63,68,5689
75.67,76,5634
77.71,66,5619
79.76,66,5619
81.80,65,5619
83.85,47,5607
85.89,26,5607
87.93,25,5607
89.98,27,5607
92.02,29,5607
94.06,32,5607
96.11,25,5607
98.15,65,5607
100.19,81,5607
102.24,75,5607
104.28,73,5607
