wall_s,util_pct,mem_mb
0.04,1,4498
2.09,0,4507
4.14,0,4509
6.19,1,4510
8.24,0,4510
10.29,0,4510
12.34,0,4505
14.39,1,4506
16.44,0,4506
18.49,0,4506
20.55,0,4493
22.60,0,4493
24.64,0,4996
26.68,1,5220
28.72,0,5220
30.76,0,5220
32.80,0,5220
34.84,0,5286
36.88,0,5286
38.93,0,5286
40.97,55,5318
43.01,55,5318
45.05,54,5318
47.10,0,5318
49.14,56,5318
51.19,57,5318
53.23,55,5318
55.28,0,5318
57.32,29,5352
59.37,25,5383
61.41,29,5383
63.45,24,5290
65.49,37,5290
67.53,41,5290
69.58,29,5290
71.62,55,5290
73.66,54,5290
75.71,53,5290
77.75,56,5290
79.79,53,5290
81.83,54,5290
83.88,55,5290
85.92,25,5298
87.96,45,5298
90.01,23,5303
92.05,28,5302
94.09,28,5302
96.14,25,5302
98.18,26,5302
100.23,55,5302
102.27,55,5302
104.31,53,5302
106.36,52,5302
108.40,55,5302
