stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
2,1,0.0,3.190880002807293,3.190880002807293,15.954400014036464,537.2959451164021,1024,12,16,23.026783230395033,16;32;64;128;256;512,23.026783230395033;10.085009997529134;6.680601668432634;1.8252300862880328;1.7815145842669196;0.2716951790170114,0.2,8,8130,0.992431640625,2.2299925733905184,2.621460497649423,0.39146792425890453,46.31208142481831,14.472525445255721,2.541538953781128
2,2,3.190880002807293,6.381760005614586,3.190880002807293,15.954400014036464,823.5610655846717,1024,12,16,19.148155308003577,16;32;64;128;256;512,19.148155308003577;9.791917900755477;7.155790254313031;1.3465356353699556;1.2592297230127054;0.36108499472846434,0.2,8,8122,0.991455078125,2.621460497649423,2.7243211318618705,0.10286063421244762,44.59336475701674,13.93542648656773,2.202108860015869
2,3,6.381760005614586,9.572640008421878,3.190880002807292,15.954400014036464,921.0462320369535,1024,12,16,24.92878209050268,16;32;64;128;256;512,24.92878209050268;8.898381354748764;5.886978461842213;1.674965287564385;1.4604424038441117;0.2537893178696039,0.2,8,8098,0.988525390625,2.7243211318618705,2.7708596480424603,0.046538516180589795,42.57808973412958,13.305653041915493,2.2043509483337402
2,4,9.572640008421878,12.763520011229172,3.190880002807294,15.954400014036464,959.5927503162682,1024,12,16,19.204366391237322,16;32;64;128;256;512,19.204366391237322;8.826589937231962;6.219682561291304;1.265168178890523;1.247420358734099;0.06786493874928587,0.2,8,8069,0.9849853515625,2.7708596480424603,2.7947276423019503,0.023867994259489933,43.8151917206081,13.69224741269003,2.1966288089752197
2,5,12.763520011229172,15.954400014036464,3.190880002807292,15.954400014036464,980.6957291734104,1024,12,16,18.070380792104764,16;32;64;128;256;512,18.070380792104764;9.132563207864788;5.380772349731055;1.937405994058974;1.1296063373519978;0.20514552784180712,0.2,8,8045,0.9820556640625,2.7947276423019503,2.809267561455272,0.014539919153321534,42.450243991359066,13.265701247299708,2.1946568489074707
4,1,0.0,6.019810510520476,6.019810510520476,30.09905255260238,656.0926997096102,1024,12,16,26.025874143157537,16;32;64;128;256;512,26.025874143157537;8.436094850616925;4.680182633003901;1.657424866360462;1.0942953207769166;0.21055099849526265,0.2,8,8118,0.990966796875,3.102882216652688,3.2475525378249586,0.14467032117227063,49.301277694179866,15.406649279431207,2.4741370677948
4,2,6.019810510520476,12.039621021040952,6.019810510520476,30.09905255260238,866.0412384772744,1024,12,16,33.354884117299385,16;32;64;128;256;512,33.354884117299385;10.150741746004126;6.9378074059812445;1.9928777351917792;1.689867562217574;0.24964646149127115,0.2,8,8060,0.98388671875,3.2475525378249586,3.284843441531848,0.03729090370688937,45.836265096760265,14.323832842737582,2.0652918815612793
4,3,12.039621021040952,18.05943153156143,6.019810510520477,30.09905255260238,932.1823512190153,1024,12,16,27.035896803940023,16;32;64;128;256;512,27.035896803940023;9.64841836103847;5.416191296080496;1.4854333705858629;1.4497779591579525;0.21964016386827143,0.2,8,7957,0.9713134765625,3.284843441531848,3.30571887376027,0.02087543222842214,45.07513169113118,14.085978653478493,2.168581008911133
4,4,18.05943153156143,24.079242042081905,6.019810510520475,30.09905255260238,962.3399314957643,1024,12,16,20.841942279852674,16;32;64;128;256;512,20.841942279852674;6.102421561015345;5.082082198757539;1.7329959725696034;1.1260005554431471;0.09630422752431829,0.2,8,7925,0.9674072265625,3.30571887376027,3.3180359277776006,0.01231705401733052,43.696282489043234,13.65508827782601,2.068881034851074
4,5,24.079242042081905,30.09905255260238,6.019810510520475,30.09905255260238,982.3933834687377,1024,12,16,18.3637948439409,16;32;64;128;256;512,18.3637948439409;7.815611155442769;5.116773506234434;1.2231924604544253;0.9100306896819186;0.28161466314732014,0.2,8,7825,0.9552001953125,3.3180359277776006,3.326022484987334,0.007986557209733292,42.483089410773495,13.275965440866717,2.157102108001709
