stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
0,1.1350553035736084,0,0,1.0,0.09874751602298759,0.0551495809582316,0.2935108086105356,0.09541632900790907
1,17.62028670310974,5,0,1.0,0.09528561327171865,0.058654630107984905,0.2830544787318165,0.08721462457488408
2,26.049047708511353,5,6,1.0,0.09305091722726218,0.06615350690892575,0.27771142528509657,0.08987451960301122
3,15.633092164993286,6,0,0.10056844482605753,0.0913939157350322,0.06648146990595274,0.2616243066811763,0.08405045342503371
