stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
1,0.19548296928405762,0,0,1.0,0.09762438202962109,0.05548917838471154,0.2959598949425707,0.09490694569916792
2,30.953760147094727,5,6,1.0,0.09503506122119791,0.05931131404419524,0.29175707404930723,0.0914359674741382
3,16.628548860549927,5,0,0.18347174,0.09282689328095116,0.057953872444907815,0.27471772695303537,0.08557081324631484
4,22.693798065185547,5,5,0.13120227,0.09073033087704586,0.06049491830036456,0.24953735313120634,0.08459599947609941
5,14.890316009521484,5,0,0.24647254,0.08950511825519229,0.06142891807416715,0.23937884627822698,0.08453890150669376
6,23.539373874664307,5,5,0.18507807,0.08812104190840551,0.06123629219214015,0.22460941491041916,0.079092722195913
7,15.30792498588562,5,0,0.29283622,0.08695349578744496,0.06186107944983345,0.21303615239609852,0.08265936640615756
8,25.053884983062744,5,5,0.22067793,0.08604459917628036,0.06387216276748946,0.19869536226864074,0.07669346299795704
9,12.429154872894287,5,0,0.41803837,0.08485131846813818,0.06545520955978525,0.18834668555301823,0.07766006010028526
10,23.919141054153442,5,5,0.34443465,0.08414427117276693,0.06924986824522962,0.18352136468756022,0.07997064140793678
11,16.5596821308136,5,0,1.5041956,0.08355757654673612,0.07529730784519983,0.19295523131695355,0.07758460968973421
12,25.423934936523438,5,6,1.4978957,0.08266819864590864,0.0847946376592303,0.2023573994021862,0.06945288799780805
13,15.16373085975647,5,0,0.22775407,0.08146177297591649,0.08513419580701714,0.19318864685625947,0.06683235092454523
14,24.275423049926758,5,5,0.16814809,0.0803573820649225,0.08361228163699189,0.18328664789556284,0.06338900643351975
15,16.54970908164978,5,0,0.27071512,0.0791855492589689,0.08362924641921542,0.17457605934060458,0.06445782531506006
16,24.767075061798096,5,5,0.20641188,0.078373018462144,0.08473975718521126,0.16376738379886163,0.06639416001648432
17,15.063052892684937,5,0,0.4959189,0.07774669924430884,0.08761677987498884,0.16099084714695922,0.06682933631585192
18,24.115231037139893,5,5,0.4145985,0.07738031178674915,0.08942144646540438,0.15825536753180156,0.07663704162625609
19,12.873836040496826,5,0,0.37195346,0.0773343785614071,0.09163753901472427,0.15100193803109307,0.07829725931208306
20,23.65958285331726,5,5,0.29125166,0.07725992454504663,0.09236234983110445,0.14550007299709178,0.07441571719672209
21,15.066302061080933,5,0,1.1277953,0.07688057871125148,0.09780066230806282,0.15221540818939794,0.06683605623651415
22,26.367128133773804,5,6,1.0482737,0.07642051815773547,0.10192539703630527,0.15478485616619617,0.0685154443939986
23,14.675792932510376,5,0,0.28563073,0.07610734673494159,0.10302263034454683,0.1481931695558263,0.07218490429035342
24,24.641727924346924,5,6,0.21381404,0.07602231622051638,0.10235862928403672,0.14027728527901234,0.07805467762213422
25,12.459362030029297,5,0,1.9107238,0.07603098221616889,0.11141384509151445,0.1512728885236465,0.0772813843502443
26,22.308270931243896,5,5,1.881741,0.07606131475096313,0.12241003895655676,0.1686477878227536,0.07605969030300538
27,16.60234308242798,5,0,0.6378887,0.07624553702541097,0.12615801785319838,0.16803479156788675,0.08366316498666486
