timestamp,gpu_util_percent,memory_used_mib,power_w
2026/05/09 09:56:02.271,2,4259,30.39
2026/05/09 09:56:03.309,1,4259,29.87
2026/05/09 09:56:04.346,1,4259,28.91
2026/05/09 09:56:05.380,1,4259,33.16
2026/05/09 09:56:06.419,1,4261,34.11
2026/05/09 09:56:07.458,1,4261,28.30
2026/05/09 09:56:08.493,1,4261,27.81
2026/05/09 09:56:09.529,1,4261,27.14
2026/05/09 09:56:10.565,1,4261,27.09
2026/05/09 09:56:11.604,1,4261,27.03
2026/05/09 09:56:12.642,1,4261,27.13
2026/05/09 09:56:13.678,1,4261,27.16
2026/05/09 09:56:14.713,1,4261,26.69
2026/05/09 09:56:15.748,1,4261,26.41
2026/05/09 09:56:16.783,1,4261,26.13
2026/05/09 09:56:17.821,1,4261,25.95
2026/05/09 09:56:18.856,1,4261,25.87
2026/05/09 09:56:19.889,1,4261,26.14
2026/05/09 09:56:20.924,1,4261,26.87
2026/05/09 09:56:21.958,1,4261,25.90
2026/05/09 09:56:22.994,1,4261,25.89
2026/05/09 09:56:24.029,1,4261,25.82
2026/05/09 09:56:25.066,1,4261,25.96
2026/05/09 09:56:26.103,1,4261,25.79
2026/05/09 09:56:27.141,1,4261,26.08
2026/05/09 09:56:28.179,1,4261,26.05
2026/05/09 09:56:29.216,1,4261,25.53
2026/05/09 09:56:30.251,0,5149,40.42
2026/05/09 09:56:31.280,0,5149,62.10
2026/05/09 09:56:32.309,0,5149,62.04
2026/05/09 09:56:33.338,0,5149,62.04
2026/05/09 09:56:34.368,0,5149,62.07
2026/05/09 09:56:35.397,0,5149,62.28
2026/05/09 09:56:36.427,0,5149,62.32
2026/05/09 09:56:37.458,0,5149,62.32
2026/05/09 09:56:38.487,0,5149,62.10
2026/05/09 09:56:39.517,0,5149,62.20
2026/05/09 09:56:40.547,0,5149,62.06
2026/05/09 09:56:41.577,0,5215,62.33
2026/05/09 09:56:42.608,0,5215,62.45
2026/05/09 09:56:43.639,0,5215,61.91
2026/05/09 09:56:44.670,0,5215,61.94
2026/05/09 09:56:45.701,0,5215,61.65
2026/05/09 09:56:46.731,12,5215,63.42
2026/05/09 09:56:47.762,0,5215,61.78
2026/05/09 09:56:48.793,72,5215,107.09
2026/05/09 09:56:49.824,72,5215,291.11
2026/05/09 09:56:50.857,71,5215,491.63
2026/05/09 09:56:51.889,68,5215,487.35
2026/05/09 09:56:52.920,78,5247,153.54
2026/05/09 09:56:53.952,62,5247,428.37
2026/05/09 09:56:54.985,63,5247,451.55
2026/05/09 09:56:56.017,83,5247,400.94
2026/05/09 09:56:57.049,71,5247,368.46
2026/05/09 09:56:58.081,73,5247,489.12
2026/05/09 09:56:59.113,71,5247,415.58
2026/05/09 09:57:00.144,68,5247,185.98
2026/05/09 09:57:01.176,66,5247,486.80
2026/05/09 09:57:02.208,71,5247,486.88
2026/05/09 09:57:03.239,69,5247,306.89
2026/05/09 09:57:04.271,61,5247,309.68
2026/05/09 09:57:05.304,62,5247,454.87
2026/05/09 09:57:06.337,62,5247,455.05
2026/05/09 09:57:07.369,69,5247,226.37
