stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
1,0.19702601432800293,0,0,1.0,0.09762438202962109,0.05548917838471154,0.2959598949425707,0.09490694569916792
2,29.464234828948975,5,6,1.0,0.09503506122119791,0.05931131404419524,0.29175707404930723,0.0914359674741382
3,0.1443769931793213,5,0,1.6059866,0.09281659126671063,0.06669541975105339,0.29534662793549604,0.08548691247801794
4,17.964524030685425,5,5,1.6289854,0.09067231000912668,0.0785667834638213,0.289952294339062,0.0842745041876166
5,0.15209197998046875,5,0,1.655919,0.08935652086693827,0.08803029580753063,0.2976417452580874,0.08384916282081208
6,22.1075599193573,5,6,1.6814898,0.08784406943807965,0.09667258340290413,0.3002900720559104,0.07796845814619584
7,0.1629807949066162,5,0,1.5871111,0.08651456334816394,0.1047162529781817,0.30202875348316965,0.08097553639539279
8,19.037321090698242,5,5,1.6068336,0.08541525082913777,0.11513072026123511,0.30083600418182166,0.07450788670900564
9,0.1530599594116211,5,0,1.569654,0.08401765190196112,0.12311614297781591,0.2992587764122995,0.07489419479830818
10,22.355093002319336,5,6,1.5944657,0.08308536497584494,0.13471668856737615,0.30551335632581805,0.07656316652885754
11,0.15343403816223145,5,0,1.5748668,0.08226025684566642,0.1396251457422153,0.30733096153845435,0.0736415610481348
12,21.775657892227173,5,6,1.5969216,0.08113751608336299,0.1493188896502061,0.31029633225358294,0.06523371701189683
13,0.1630539894104004,5,0,1.5082088,0.07971175027722498,0.156725144500879,0.3124653146327825,0.06224724148224924
14,22.616333961486816,5,6,1.5279789,0.07838886182794591,0.16219298155356243,0.3141335338745416,0.05845875220303597
15,0.16678619384765625,5,0,1.455584,0.07700429886235416,0.16829808805072902,0.3133652593058226,0.0590123463118372
16,22.193683862686157,5,6,1.47674,0.07596671780618991,0.17647898296837486,0.31055628530190926,0.06038411895844013
17,0.1519620418548584,5,0,1.4913715,0.07510923529612343,0.18465992160754488,0.31233057484842786,0.060314797186998066
18,22.456483125686646,5,6,1.5080523,0.07450066716261237,0.19211945363030805,0.3156808367018296,0.06912839244981814
19,0.16560697555541992,5,0,1.5182005,0.07419643886709111,0.2005238529206826,0.31315618186872707,0.07017913684398283
20,22.21407389640808,5,6,1.5369798,0.07386599972051984,0.2076087540067323,0.31453988738861133,0.06601210829047291
21,0.1289069652557373,5,0,1.4842048,0.07325106594032117,0.21371410943437866,0.3146679259519684,0.05845406189931219
22,22.283643007278442,5,6,1.5010902,0.07256576880267128,0.2187812428245548,0.31146021673658797,0.059648290433634905
23,0.14980196952819824,5,0,1.4235789,0.07202488061286864,0.22564717988505512,0.3103345326345939,0.06274078725884091
24,21.737298011779785,5,6,1.441331,0.07170352758709846,0.23077185529392125,0.3084309845337351,0.06787442849068556
25,0.1605358123779297,5,0,1.4249979,0.07147625562717269,0.23476683174712537,0.2973523113258946,0.06688180593659794
26,22.331451892852783,5,6,1.444035,0.07127967288599285,0.2418215132541115,0.29824943525198033,0.06559752630494382
27,0.1246640682220459,5,0,1.5076157,0.07123828738568949,0.2498658312966626,0.30171899085206744,0.07255461960252955
