T_days,n_replans,n_levels_total,mean_accept_pct,median_accept_pct,mean_chees_L,mean_levels_per_replan,mean_beta_max,mean_esjd_per_eL,mean_delta_logD,mean_wall_per_level
14.0,13,69,97.93418110280797,97.91259765625,16.0,5.3076923076923075,158.19670092213352,14.079305999196842,0.012086796518709942,1.6887751869533374
28.0,27,136,97.43203555836398,97.735595703125,16.0,5.037037037037037,19.95692551392653,14.02674501495179,0.07851056816350793,2.365536637165967
42.0,41,230,96.16800059442934,96.484375,16.0,5.609756097560975,7.155907997302477,13.408567790790062,0.34412706668626925,3.0005578113638838
56.0,55,328,94.97435034775152,95.556640625,16.0,5.963636363636364,3.1451054543605568,13.29884409511378,0.7812646327320097,3.674974818055223
70.0,69,412,93.49285236840109,94.775390625,16.0,5.971014492753623,1.8241424842075697,13.19800847801079,1.1944166604429765,4.268037206339605
84.0,83,492,92.67843603118648,94.34814453125,16.0,5.927710843373494,1.2731107145649552,13.152748154088108,1.6093222079122207,4.9165591912540965
