day,daily_phi
0,0.198587
1,0.150304
2,0.133910
3,0.125447
4,0.122968
5,0.125239
6,0.131456
7,0.141004
8,0.153265
9,0.167527
10,0.183014
11,0.199062
12,0.215346
13,0.232050
14,0.249873
15,0.269898
16,0.293378
17,0.321536
18,0.355365
19,0.395436
20,0.441693
21,0.493324
22,0.548800
23,0.606148
24,0.663340
25,0.718625
26,0.770657
