day,daily_phi
0,1.000000
1,1.000000
2,0.212853
3,0.170600
4,0.234640
5,0.191579
6,0.248941
7,0.203855
8,0.353659
9,0.297889
10,0.438803
11,0.380387
12,0.723183
13,0.664129
14,0.287615
15,0.234767
16,0.398530
17,0.335106
18,0.717813
19,0.649089
20,1.374837
21,1.325021
22,0.547801
23,0.479336
24,0.547723
25,0.479057
26,0.894751
