wall_s,util_pct,mem_mb
0.05,0,4701
2.10,1,4694
4.15,0,4696
6.20,1,4692
8.25,17,4708
10.31,8,4707
12.35,0,4671
14.41,0,4671
16.46,1,4700
18.52,2,4697
20.57,0,4654
22.61,0,4648
24.66,1,4654
26.70,0,5193
28.74,0,5192
30.78,0,5191
32.83,0,5188
34.87,0,5278
36.91,0,5297
38.95,0,5320
40.99,60,5318
43.03,0,5285
45.07,57,5284
47.12,36,5317
49.16,39,5324
51.20,53,5335
53.25,52,5303
55.29,40,5305
57.34,39,5372
59.38,30,5369
61.43,54,5316
63.47,54,5313
65.51,33,5325
67.56,30,5319
69.60,27,5323
71.64,38,5328
73.69,40,5368
75.73,35,5352
77.77,43,5350
79.81,45,5401
