stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
2,1,0.0,0.00841264844230339,0.00841264844230339,0.043856862595848964,64.00000004816755,128,16,16,31.871741465512322,16;32;64;128,31.871741465512322;9.98662909546917;3.7767143751329684;1.3283200730692963,0.2,2,239,0.93359375,-157.28453970018018,-21.330504040815867,135.9540356593643,44.380247845823476,13.868827451819836,6.711134910583496
2,2,0.00841264844230339,0.017184020961473184,0.008771372519169793,0.043856862595848964,100.30463058477338,128,16,16,27.733453051774106,16;32;64;128,27.733453051774106;9.940540140225389;7.330686672926281;1.1871650731790435,0.2,2,225,0.87890625,-21.330504040815867,34.72717209464463,56.0576761354605,48.47457372972923,15.148304290540384,6.506805896759033
2,3,0.017184020961473184,0.025955393480642977,0.008771372519169793,0.043856862595848964,119.88044880062908,128,16,16,26.527654438875434,16;32;64;128,26.527654438875434;6.709499970101678;4.375524279971533;1.6412322009999154,0.2,2,225,0.87890625,34.72717209464463,42.91706883644292,8.189896741798293,44.676490925618765,13.961403414255864,6.489537000656128
2,4,0.025955393480642977,0.03472676599981277,0.00877137251916979,0.043856862595848964,122.63411466699758,128,16,16,34.52621552057957,16;32;64;128,34.52621552057957;8.246583629155012;3.912859970304366;0.740386336258302,0.2,2,230,0.8984375,42.91706883644292,49.138250897753096,6.221182061310174,46.048272009574234,14.390085002991947,6.508466005325317
2,5,0.03472676599981277,0.04349813851898256,0.00877137251916979,0.043856862595848964,124.96712844498069,128,16,16,22.45627617430113,16;32;64;128,22.45627617430113;8.12401537793422;4.9595482951313326;0.5740532137537843,0.2,2,234,0.9140625,49.138250897753096,50.030964828736614,0.8927139309835184,40.5654464700173,12.676702021880406,6.42414402961731
2,6,0.04349813851898256,0.043856862595848964,0.00035872407686640684,0.043856862595848964,127.99159220782806,128,16,16,25.83135960286173,16;32;64;128,25.83135960286173;5.082564224278948;4.970016608935137;1.7043595583066333,0.2,2,228,0.890625,50.030964828736614,48.46756408800138,-1.5634007407352328,42.03484685909868,13.135889643468337,6.3691020011901855
4,1,0.0,0.00796000008375785,0.00796000008375785,0.03980000041878925,65.13990811029866,128,16,16,29.810474482949537,16;32;64;128,29.810474482949537;8.129541260134012;6.987552816614447;0.8301267810117988,0.2,2,234,0.9140625,-166.64097439295801,-6.81610408760389,159.82487030535412,48.36099228381752,15.112810088692973,6.523283958435059
4,2,0.00796000008375785,0.0159200001675157,0.00796000008375785,0.03980000041878925,106.7222879476289,128,16,16,27.544940261627556,16;32;64;128,27.544940261627556;11.024406680621576;4.8580458743661925;0.9588331486014675,0.2,2,231,0.90234375,-6.81610408760389,30.162275984534062,36.97838007213795,47.38844631902908,14.808889474696587,6.389233112335205
4,3,0.0159200001675157,0.02388000025127355,0.00796000008375785,0.03980000041878925,118.38694912784905,128,16,16,22.589454338562764,16;32;64;128,22.589454338562764;9.421681188439974;6.576931197173475;1.5382006546035132,0.2,2,238,0.9296875,30.162275984534062,47.28486749710282,17.12259151256876,45.6630481892069,14.269702559127154,6.293627977371216
4,4,0.02388000025127355,0.0318400003350314,0.00796000008375785,0.03980000041878925,123.2657103871746,128,16,16,23.93785334077324,16;32;64;128,23.93785334077324;8.8984727552926;6.449992116408786;1.703361575762699,0.2,2,230,0.8984375,47.28486749710282,51.358020114392275,4.073152617289452,46.014281459820886,14.379462956194025,6.314915180206299
4,5,0.0318400003350314,0.03980000041878925,0.00796000008375785,0.03980000041878925,125.05894633088967,128,16,16,30.211745340151687,16;32;64;128,30.211745340151687;7.501196946031379;4.920952380290852;1.3081417957925827,0.2,2,236,0.921875,51.358020114392275,55.479188073892146,4.121167959499871,41.506544236900886,12.970795074031527,6.452663898468018
6,1,0.0,0.008138094271525119,0.008138094271525119,0.04774808085922087,64.00000000182072,128,16,16,19.35895195850163,16;32;64;128,19.35895195850163;4.433468635823562;4.894043062806075;1.2180764102135504,0.2,2,235,0.91796875,-159.4718667969437,-15.26661484647775,144.20525195046594,46.117131896213124,14.411603717566601,6.494856119155884
6,2,0.008138094271525119,0.017687710443369295,0.009549616171844176,0.04774808085922087,99.44917368473726,128,16,16,24.12757746686756,16;32;64;128,24.12757746686756;8.064197013725693;4.497364815493452;1.1320339561647998,0.2,2,227,0.88671875,-15.26661484647775,33.17861851771886,48.44523336419661,46.296946987285786,14.467795933526807,6.331486940383911
6,3,0.017687710443369295,0.02723732661521347,0.009549616171844175,0.04774808085922087,117.39705301346721,128,16,16,25.464001539482645,16;32;64;128,25.464001539482645;5.497441024783154;5.5696264473539125;1.113403672846524,0.2,2,238,0.9296875,33.17861851771886,44.70996550836753,11.531346990648672,45.00793261959584,14.0649789436237,6.374536991119385
6,4,0.02723732661521347,0.036786942787057644,0.009549616171844175,0.04774808085922087,121.76773755573578,128,16,16,30.012826208458137,16;32;64;128,30.012826208458137;9.246882655113078;3.879068545110168;0.959441844383362,0.2,2,240,0.9375,44.70996550836753,51.223694896209054,6.513729387841522,41.78845810461704,13.058893157692825,6.444127082824707
6,5,0.036786942787057644,0.04633655895890182,0.009549616171844175,0.04774808085922087,124.04924684871511,128,16,16,27.070371870577006,16;32;64;128,27.070371870577006;8.744848748493498;6.561055868083666;1.6878707075574055,0.2,2,240,0.9375,51.223694896209054,57.63641435466707,6.412719458458014,40.316562120740706,12.59892566273147,6.444818019866943
6,6,0.04633655895890182,0.04774808085922087,0.0014115219003190543,0.04774808085922087,127.91214402198864,128,16,16,30.76360823945418,16;32;64;128,30.76360823945418;7.274422739163582;4.657842940561432;1.389920742042137,0.2,2,238,0.9296875,57.63641435466707,59.83556510764174,2.199150752974674,38.1876109751318,11.933628429728685,6.47945499420166
8,1,0.0,0.008398857051215167,0.008398857051215167,0.04358610592692871,64.00000004385302,128,16,16,28.70500202855106,16;32;64;128,28.70500202855106;10.843286506109093;8.360802758850559;0.6352983489699955,0.2,2,232,0.90625,-159.82826731546083,-18.728703031898476,141.09956428356236,50.26970315122967,15.709282234759272,6.473422050476074
8,2,0.008398857051215167,0.01711607823660091,0.008717221185385742,0.04358610592692871,101.29530382924523,128,16,16,24.653314358668876,16;32;64;128,24.653314358668876;10.348611104122906;6.097843619448915;1.3594581551567797,0.2,2,220,0.859375,-18.728703031898476,33.59544543029551,52.32414846219399,49.627166141035104,15.50848941907347,6.559736967086792
8,3,0.01711607823660091,0.02583329942198665,0.008717221185385742,0.04358610592692871,120.32557437325312,128,16,16,20.036696419146235,16;32;64;128,20.036696419146235;6.457151638272558;3.0987147540530517;0.40669395373774153,0.2,2,227,0.88671875,33.59544543029551,45.06521481613163,11.469769385836116,45.165110278488115,14.114096962027535,6.646703004837036
8,4,0.02583329942198665,0.03455052060737239,0.008717221185385739,0.04358610592692871,123.88720710007723,128,16,16,16.355265048299472,16;32;64;128,16.355265048299472;7.07527002975719;2.990652022676866;2.0253436592044904,0.2,2,216,0.84375,45.06521481613163,49.98007082316326,4.914856007031631,44.886675846722895,14.027086202100904,6.72103214263916
8,5,0.03455052060737239,0.043267741792758135,0.008717221185385746,0.04358610592692871,124.96289153419977,128,16,16,17.252164245277864,16;32;64;128,17.252164245277864;4.964321832336267;3.51786945338314;1.3957316030822897,0.2,2,226,0.8828125,49.98007082316326,53.546838825335726,3.5667680021724664,45.34930356715924,14.171657364737262,6.51439905166626
8,6,0.043267741792758135,0.04358610592692871,0.000318364134170572,0.04358610592692871,127.99766235806455,128,16,16,33.414342159627466,16;32;64;128,33.414342159627466;6.750336680739122;5.216707195933377;1.2964714916016369,0.2,2,225,0.87890625,53.546838825335726,50.89587220386602,-2.6509666214697063,40.70894961923622,12.72154675601132,6.343725919723511
